Timestamp (ns),Time (s),X Position (m),Y Position (m),Yaw (rad),Steering Command,change_gear_times
21435783835,21.4358,71.000000,-107.500000,0.000000,0.000000,1
21485783835,21.4858,71.000000,-107.500000,0.000000,0.000000,1
21535783836,21.5358,71.000000,-107.500000,0.000000,0.000000,1
21585783837,21.5858,71.000000,-107.500000,0.000000,0.000000,1
21635783838,21.6358,71.000000,-107.500000,0.000000,0.000000,1
21685783838,21.6858,71.000000,-107.500000,0.000000,0.000000,1
21735783839,21.7358,71.000000,-107.500000,0.000000,0.000000,1
21785783840,21.7858,71.000000,-107.500000,0.000000,0.000000,1
21835783841,21.8358,71.000000,-107.500000,0.000000,0.000000,1
21885783841,21.8858,71.000000,-107.500000,0.000000,0.000000,1
21935783842,21.9358,71.000000,-107.500000,0.000000,0.000000,1
21985783843,21.9858,71.000000,-107.500000,0.000000,0.000000,1
22035783844,22.0358,71.020287,-107.500000,0.000006,0.000000,1
22085783844,22.0858,71.075035,-107.500000,0.000011,0.000000,1
22135783845,22.1358,71.149986,-107.499977,-0.000033,0.000000,1
22185783846,22.1858,71.236748,-107.499962,-0.000032,0.000000,1
22235783847,22.2358,71.331779,-107.500053,0.000246,0.000000,1
22285783847,22.2858,71.432831,-107.500122,0.000445,0.000000,1
22335783848,22.3358,71.538216,-107.500221,0.000805,0.000000,1
22385783849,22.3858,71.647827,-107.500229,0.000974,0.000000,1
22435783850,22.4358,71.760780,-107.500244,0.001310,0.000000,1
22485783850,22.4858,71.877327,-107.500160,0.001462,0.000000,1
22535783851,22.5358,71.996826,-107.500107,0.001774,0.000000,1
22585783852,22.5858,72.119637,-107.499962,0.001908,0.000000,1
22635783853,22.6358,72.245216,-107.499825,0.002199,0.000000,1
22685783853,22.6858,72.373947,-107.499596,0.002319,0.000000,1
22735783854,22.7358,72.505325,-107.499390,0.002588,0.000000,1
22785783855,22.7858,72.639748,-107.499092,0.002691,0.000000,1
22835783855,22.8358,72.776733,-107.498810,0.002939,0.000000,1
22885783856,22.8858,72.916656,-107.498444,0.003026,0.000000,1
22935783857,22.9358,73.059082,-107.498093,0.003253,0.000000,1
22985783858,22.9858,73.204361,-107.497673,0.003325,0.000000,1
23035783858,23.0358,73.352058,-107.497253,0.003531,0.000000,1
23085783859,23.0858,73.502518,-107.496758,0.003587,0.000000,1
23135783860,23.1358,73.655350,-107.496277,0.003773,0.000000,1
23185783861,23.1858,73.810844,-107.495712,0.003816,0.000000,1
23235783861,23.2358,73.968658,-107.495163,0.003982,0.000000,1
23285783862,23.2858,74.129051,-107.494537,0.004011,0.000000,1
