Timestamp (ns),Time (s),X Position (m),Y Position (m),Yaw (rad),Steering Command,trials (times)
37636270368,37.6363,71.000000,-107.500000,0.000000,0.000000,1
37686270369,37.6863,71.000000,-107.500000,0.000000,0.000000,1
37736270369,37.7363,71.000000,-107.500000,0.000000,0.000000,1
37786270370,37.7863,71.000000,-107.500000,0.000000,0.000000,1
37836270371,37.8363,71.000000,-107.500000,0.000000,0.000000,1
37886270372,37.8863,71.000000,-107.500000,0.000000,0.000000,1
37936270372,37.9363,71.000000,-107.500000,0.000000,0.000000,1
37986270373,37.9863,71.000000,-107.500000,0.000000,0.000000,1
38036270374,38.0363,71.000000,-107.500000,0.000000,0.000000,1
38086270375,38.0863,71.000000,-107.500000,0.000000,0.000000,1
38136270375,38.1363,71.000000,-107.500000,0.000000,0.000000,1
38186270376,38.1863,71.000000,-107.500000,0.000000,0.000000,1
38236270377,38.2363,71.020287,-107.500000,0.000006,0.000000,1
38286270378,38.2863,71.075020,-107.500000,0.000010,0.000000,1
38336270378,38.3363,71.149239,-107.499962,-0.000107,0.000000,1
38386270379,38.3863,71.235443,-107.500046,0.000069,0.000000,1
38436270380,38.4363,71.330025,-107.500114,0.000221,0.000000,1
38486270381,38.4863,71.430305,-107.500244,0.000603,0.000000,1
38536270381,38.5363,71.535591,-107.500275,0.000790,0.000000,1
38586270382,38.5863,71.644684,-107.500328,0.001138,0.000000,1
38636270383,38.6363,71.757668,-107.500290,0.001299,0.000000,1
38686270384,38.6863,71.873795,-107.500252,0.001623,0.000000,1
38736270384,38.7363,71.993370,-107.500122,0.001767,0.000000,1
38786270385,38.7863,72.115799,-107.500031,0.002069,0.000000,1
38836270386,38.8363,72.241463,-107.499832,0.002197,0.000000,1
38886270387,38.8863,72.369835,-107.499634,0.002477,0.000000,1
38936270387,38.9363,72.501305,-107.499374,0.002589,0.000000,1
38986270388,38.9863,72.635399,-107.499115,0.002847,0.000000,1
39036270389,39.0363,72.772469,-107.498764,0.002943,0.000000,1
39086270390,39.0863,72.912079,-107.498444,0.003181,0.000000,1
39136270390,39.1363,73.054573,-107.498024,0.003261,0.000000,1
39186270391,39.1863,73.199554,-107.497627,0.003477,0.000000,1
39236270392,39.2363,73.347321,-107.497147,0.003542,0.000000,1
39286270393,39.2863,73.497498,-107.496674,0.003738,0.000000,1
39336270393,39.3363,73.650383,-107.496132,0.003788,0.000000,1
39386270394,39.3863,73.805618,-107.495605,0.003964,0.000000,1
39436270395,39.4363,73.963478,-107.494995,0.004000,0.000000,1
39486270396,39.4863,74.123619,-107.494415,0.004158,0.000000,1
39536270396,39.5363,74.286301,-107.493759,0.004181,0.000000,1
39586270397,39.5863,74.451210,-107.493126,0.004321,0.000000,1
39636270398,39.6363,74.618576,-107.492409,0.004332,0.000000,1
39686270399,39.6863,74.788116,-107.491730,0.004455,0.000000,1
39736270399,39.7363,74.960030,-107.490967,0.004455,0.000000,1
39786270400,39.7863,75.134048,-107.490211,0.004564,0.000000,1
39836270401,39.8363,75.310371,-107.489418,0.004556,0.000000,1
39886270401,39.8863,75.487740,-107.488640,0.004657,0.000000,1
39936270402,39.9363,75.631538,-107.487907,0.004533,0.000000,1
39986270403,39.9863,75.715683,-107.487480,0.004494,0.000000,1
40036270404,40.0363,75.743088,-107.487389,0.004584,0.000000,1
40086270404,40.0863,75.743088,-107.487389,0.004588,0.000000,1
40136270405,40.1363,75.743210,-107.487389,0.004588,0.000000,1
40186270406,40.1863,75.743370,-107.487389,0.004588,-0.235716,1
40236270407,40.2363,75.743500,-107.487389,0.004588,-0.235716,1
40286270407,40.2863,75.743607,-107.487389,0.004589,-0.235716,1
40336270408,40.3363,75.743706,-107.487389,0.004589,-0.235716,1
40386270409,40.3863,75.743599,-107.487427,0.004571,-0.235716,1
40436270410,40.4363,75.743263,-107.487526,0.004485,-0.235716,1
40486270410,40.4863,75.742920,-107.487511,0.004513,-0.235716,1
40536270411,40.5363,75.742409,-107.487640,0.004411,-0.235716,1
40586270412,40.5863,75.741890,-107.487663,0.004423,-0.235716,1
40636270413,40.6363,75.741196,-107.487801,0.004302,-0.235716,1
40686270413,40.6863,75.740494,-107.487823,0.004292,-0.235716,1
40736270414,40.7363,75.739578,-107.488007,0.004147,-0.235716,1
40786270415,40.7863,75.738617,-107.488052,0.004112,-0.235716,1
40836270416,40.8363,75.737442,-107.488266,0.003944,-0.235716,1
40886270416,40.8863,75.736237,-107.488358,0.003887,-0.235716,1
40936270417,40.9363,75.734795,-107.488594,0.003695,-0.235716,1
40986270418,40.9863,75.733330,-107.488731,0.003617,-0.235716,1
41036270419,41.0363,75.731651,-107.488983,0.003403,-0.235716,1
41086270419,41.0863,75.729942,-107.489159,0.003302,-0.235716,1
41136270420,41.1363,75.728012,-107.489464,0.003067,-0.235716,1
41186270421,41.1863,75.726059,-107.489647,0.002945,-0.235716,1
41236270422,41.2363,75.723892,-107.489990,0.002688,-0.235716,1
41286270422,41.2863,75.721687,-107.490196,0.002543,-0.235716,1
41336270423,41.3363,75.719284,-107.490562,0.002265,-0.235716,1
41386270424,41.3863,75.716850,-107.490814,0.002100,-0.235716,1
41436270425,41.4363,75.714226,-107.491188,0.001801,-0.235716,1
41486270425,41.4863,75.711578,-107.491486,0.001615,-0.235716,1
41536270426,41.5363,75.708733,-107.491905,0.001297,-0.235716,1
41586270427,41.5863,75.705864,-107.492195,0.001091,-0.235716,1
41636270428,41.6363,75.702812,-107.492645,0.000753,-0.235716,1
41686270428,41.6863,75.699730,-107.492973,0.000528,-0.235716,1
41736270429,41.7363,75.696388,-107.493446,0.000157,-0.235716,1
41786270430,41.7863,75.692459,-107.493965,-0.000027,-0.235716,1
41836270431,41.8363,75.675171,-107.496025,-0.001534,-0.235716,1
41886270431,41.8863,75.642990,-107.499733,-0.004526,-0.235716,1
41936270432,41.9363,75.606964,-107.504089,-0.007665,-0.235716,1
41986270433,41.9863,75.570198,-107.508522,-0.011073,-0.235716,1
42036270434,42.0363,75.534416,-107.512627,-0.014364,-0.235716,1
42086270434,42.0863,75.499352,-107.516632,-0.017647,-0.235716,1
42136270435,42.1363,75.464767,-107.520409,-0.020662,-0.235716,1
42186270436,42.1863,75.430573,-107.524086,-0.023811,-0.235716,1
42236270437,42.2363,75.396416,-107.527565,-0.026959,-0.235716,1
42286270437,42.2863,75.362000,-107.531120,-0.030111,-0.235716,1
42336270438,42.3363,75.326759,-107.534538,-0.033246,-0.235716,1
42386270439,42.3863,75.289581,-107.538086,-0.036603,-0.235716,1
42436270439,42.4363,75.252678,-107.541382,-0.039943,-0.235716,1
42486270440,42.4863,75.215126,-107.544731,-0.043239,-0.235716,1
42536270441,42.5363,75.174835,-107.547958,-0.046814,-0.235716,1
42586270442,42.5863,75.135139,-107.550964,-0.050555,-0.235716,1
42636270442,42.6363,75.096382,-107.553970,-0.053800,-0.235716,1
42686270443,42.6863,75.058151,-107.556602,-0.057528,-0.235716,1
42736270444,42.7363,75.020630,-107.559235,-0.060633,-0.235716,1
42786270445,42.7863,74.983345,-107.561615,-0.064208,-0.235716,1
42836270445,42.8363,74.946190,-107.563904,-0.067338,-0.235716,1
42886270446,42.8863,74.909645,-107.565834,-0.070792,-0.235716,1
42936270447,42.9363,74.873543,-107.567818,-0.073795,-0.235716,1
42986270448,42.9863,74.837784,-107.569588,-0.077178,-0.235716,1
43036270448,43.0363,74.802063,-107.571434,-0.080083,-0.235716,1
43086270449,43.0863,74.766060,-107.572845,-0.083445,-0.235716,1
43136270450,43.1363,74.729454,-107.574402,-0.086612,-0.235716,1
43186270451,43.1863,74.692627,-107.575508,-0.090164,-0.235716,1
43236270451,43.2363,74.654381,-107.576904,-0.093694,-0.235716,1
43286270452,43.2863,74.616211,-107.578087,-0.097175,-0.235716,1
43336270453,43.3363,74.578293,-107.579224,-0.100606,-0.235716,1
43386270454,43.3863,74.537354,-107.580185,-0.104034,-0.235716,1
43436270454,43.4363,74.495766,-107.580956,-0.108014,-0.235716,1
43486270455,43.4863,74.454834,-107.581757,-0.111497,-0.235716,1
43536270456,43.5363,74.414619,-107.582245,-0.115366,-0.235716,1
43586270457,43.5863,74.374855,-107.582710,-0.118758,-0.235716,1
43636270457,43.6363,74.335411,-107.582901,-0.122543,-0.235716,1
43686270458,43.6863,74.293068,-107.582985,-0.126474,-0.235716,1
43736270459,43.7363,74.250137,-107.582947,-0.130275,-0.235716,1
43786270460,43.7863,74.207779,-107.582848,-0.134144,-0.235716,1
43836270460,43.8363,74.165878,-107.582520,-0.137896,-0.235716,1
43886270461,43.8863,74.124527,-107.582138,-0.141678,-0.235716,1
43936270462,43.9363,74.083466,-107.581528,-0.145288,-0.235716,1
43986270463,43.9863,74.042908,-107.580841,-0.149007,-0.235716,1
44036270463,44.0363,74.002441,-107.579926,-0.152658,-0.235716,1
44086270464,44.0863,73.962044,-107.578964,-0.156418,-0.235716,1
44136270465,44.1363,73.921989,-107.577789,-0.159926,-0.235716,1
44186270466,44.1863,73.882179,-107.576523,-0.163583,-0.235716,1
44236270466,44.2363,73.842392,-107.575035,-0.167182,-0.235716,1
44286270467,44.2863,73.802681,-107.573494,-0.170845,-0.235716,1
44336270468,44.3363,73.762932,-107.571686,-0.174366,-0.235716,1
44386270469,44.3863,73.721436,-107.569633,-0.178185,-0.235716,1
44436270469,44.4363,73.680191,-107.567497,-0.181872,-0.235716,1
44486270470,44.4863,73.639351,-107.565323,-0.185597,-0.235716,1
44536270471,44.5363,73.598930,-107.562904,-0.189224,-0.235716,1
44586270472,44.5863,73.558784,-107.560478,-0.192888,-0.235716,1
44636270472,44.6363,73.518852,-107.557808,-0.196441,-0.235716,1
44686270473,44.6863,73.479050,-107.555145,-0.200075,-0.235716,1
44736270474,44.7363,73.439590,-107.552216,-0.203625,-0.235716,1
44786270475,44.7863,73.399925,-107.549255,-0.207293,-0.235716,1
44836270475,44.8363,73.360519,-107.546043,-0.210834,-0.235716,1
44886270476,44.8863,73.320999,-107.542778,-0.214520,-0.235716,1
44936270477,44.9363,73.281532,-107.539322,-0.218004,-0.235716,1
44986270477,44.9863,73.242340,-107.535820,-0.221589,-0.235716,1
45036270478,45.0363,73.203506,-107.532066,-0.225091,-0.235716,1
45086270479,45.0863,73.164894,-107.528305,-0.228656,-0.235716,1
45136270480,45.1363,73.126465,-107.524376,-0.232056,-0.235716,1
45186270480,45.1863,73.088203,-107.520401,-0.235582,-0.235716,1
