Timestamp (ns),Time (s),X Position (m),Y Position (m),Yaw (rad),Steering Command,change_gear_times
14639970712,14.6400,71.000000,-107.500000,0.000000,0.000000,1
14689970713,14.6900,71.000000,-107.500000,0.000000,0.000000,1
14739970714,14.7400,71.000000,-107.500000,0.000000,0.000000,1
14789970715,14.7900,71.000000,-107.500000,0.000000,0.000000,1
14839970715,14.8400,71.000000,-107.500000,0.000000,0.000000,1
14889970716,14.8900,71.000000,-107.500000,0.000000,0.000000,1
14939970717,14.9400,71.000000,-107.500000,0.000000,0.000000,1
14989970718,14.9900,71.000000,-107.500000,0.000000,0.000000,1
15039970718,15.0400,71.000000,-107.500000,0.000000,0.000000,1
15089970719,15.0900,71.000000,-107.500000,0.000000,0.000000,1
15139970720,15.1400,71.000000,-107.500000,0.000000,0.000000,1
15189970721,15.1900,71.020287,-107.500000,0.000006,0.000000,1
15239970721,15.2400,71.075020,-107.500000,0.000011,0.000000,1
15289970722,15.2900,71.149780,-107.499931,-0.000150,0.000000,1
15339970723,15.3400,71.235870,-107.499947,-0.000140,0.000000,1
15389970724,15.3900,71.330582,-107.499977,-0.000118,0.000000,1
15439970724,15.4400,71.430748,-107.500084,0.000232,0.000000,1
15489970725,15.4900,71.535820,-107.500137,0.000462,0.000000,1
15539970726,15.5400,71.644478,-107.500206,0.000816,0.000000,1
15589970726,15.5900,71.757042,-107.500175,0.001014,0.000000,1
15639970727,15.6400,71.872612,-107.500160,0.001342,0.000000,1
15689970728,15.6900,71.991684,-107.500069,0.001520,0.000000,1
15739970729,15.7400,72.113518,-107.499977,0.001823,0.000000,1
15789970729,15.7900,72.238625,-107.499802,0.001980,0.000000,1
15839970730,15.8400,72.366379,-107.499657,0.002258,0.000000,1
15889970731,15.8900,72.497292,-107.499413,0.002396,0.000000,1
15939970732,15.9400,72.630753,-107.499161,0.002649,0.000000,1
15989970732,15.9900,72.767258,-107.498848,0.002767,0.000000,1
16039970733,16.0400,72.906250,-107.498535,0.002996,0.000000,1
16089970734,16.0900,73.048187,-107.498154,0.003094,0.000000,1
16139970735,16.1400,73.192551,-107.497780,0.003299,0.000000,1
16189970735,16.1900,73.339775,-107.497314,0.003378,0.000000,1
16239970736,16.2400,73.489349,-107.496872,0.003560,0.000000,1
16289970737,16.2900,73.641701,-107.496353,0.003621,0.000000,1
16339970738,16.3400,73.796364,-107.495834,0.003782,0.000000,1
16389970738,16.3900,73.953697,-107.495270,0.003826,0.000000,1
16439970739,16.4400,74.113281,-107.494698,0.003965,0.000000,1
16489970740,16.4900,74.275459,-107.494072,0.003995,0.000000,1
16539970741,16.5400,74.439819,-107.493446,0.004116,0.000000,1
16589970741,16.5900,74.606705,-107.492767,0.004132,0.000000,1
16639970742,16.6400,74.775719,-107.492096,0.004235,0.000000,1
16689970743,16.6900,74.947159,-107.491364,0.004240,0.000000,1
16739970744,16.7400,75.120667,-107.490662,0.004328,0.000000,1
16789970744,16.7900,75.296524,-107.489899,0.004323,0.000000,1
16839970745,16.8400,75.474411,-107.489151,0.004396,0.000000,1
16889970746,16.8900,75.653564,-107.488358,0.004387,0.000000,1
