Timestamp (ns),Time (s),X Position (m),Y Position (m),Yaw (rad),Steering Command,change_gear_times
16620018046,16.6200,71.876144,-107.500137,0.001903,0.000000,1
16670018047,16.6700,71.995590,-107.500015,0.002215,0.000000,1
16720018048,16.7200,72.118340,-107.499825,0.002351,0.000000,1
16770018049,16.7700,72.243874,-107.499626,0.002641,0.000000,1
16820018049,16.8200,72.372559,-107.499344,0.002761,0.000000,1
16870018050,16.8700,72.503899,-107.499077,0.003030,0.000000,1
16920018051,16.9200,72.638268,-107.498726,0.003133,0.000000,1
16970018052,16.9700,72.775223,-107.498375,0.003381,0.000000,1
17020018052,17.0200,72.915108,-107.497963,0.003469,0.000000,1
17070018053,17.0700,73.057495,-107.497543,0.003695,0.000000,1
17120018054,17.1200,73.202721,-107.497040,0.003767,0.000000,1
17170018055,17.1700,73.350388,-107.496552,0.003973,0.000000,1
17220018055,17.2200,73.500809,-107.495987,0.004030,0.000000,1
17270018056,17.2700,73.653610,-107.495415,0.004216,0.000000,1
17320018057,17.3200,73.809074,-107.494804,0.004259,0.000000,1
17370018057,17.3700,73.966850,-107.494186,0.004426,0.000000,1
17420018058,17.4200,74.127205,-107.493500,0.004454,0.000000,1
17470018059,17.4700,74.289825,-107.492821,0.004603,0.000000,1
17520018060,17.5200,74.454933,-107.492081,0.004620,0.000000,1
17570018060,17.5700,74.622238,-107.491348,0.004751,0.000000,1
17620018061,17.6200,74.791962,-107.490555,0.004756,0.000000,1
17670018062,17.6700,74.963829,-107.489761,0.004871,0.000000,1
17720018063,17.7200,75.138031,-107.488930,0.004868,0.000000,1
17770018063,17.7700,75.314316,-107.488091,0.004968,0.000000,1
17820018064,17.8200,75.492851,-107.487213,0.004956,0.000000,1
17870018065,17.8700,75.673431,-107.486366,0.005045,0.000000,1
17920018066,17.9200,75.856186,-107.485428,0.005024,0.000000,1
17970018066,17.9700,76.040916,-107.484528,0.005102,0.000000,1
18020018067,18.0200,76.227753,-107.483582,0.005073,0.000000,1
18070018068,18.0700,76.416534,-107.482635,0.005155,0.000000,1
18120018069,18.1200,76.607155,-107.481628,0.005081,0.000000,1
18170018069,18.1700,76.799614,-107.480682,0.005157,0.000000,1
18220018070,18.2200,76.992928,-107.479675,0.005078,0.000000,1
18270018071,18.2700,77.150917,-107.478844,0.004972,0.000000,1
18320018072,18.3200,77.244919,-107.477829,0.003970,0.000000,1
18370018072,18.3700,77.276680,-107.477089,0.003206,0.000000,1
18420018073,18.4200,77.276665,-107.477089,0.003210,0.000000,1
18470018074,18.4700,77.276802,-107.477089,0.003210,0.000000,1
18520018075,18.5200,77.276978,-107.477089,0.003210,-0.308156,2
18570018075,18.5700,77.277130,-107.477081,0.003210,-0.308156,2
18620018076,18.6200,77.277245,-107.477081,0.003211,-0.308156,2
18670018077,18.6700,77.277344,-107.477081,0.003212,-0.308156,2
18720018078,18.7200,77.277214,-107.477142,0.003185,-0.308156,2
18770018078,18.7700,77.276863,-107.477295,0.003072,-0.308156,2
18820018079,18.8200,77.276489,-107.477295,0.003105,-0.308156,2
18870018080,18.8700,77.275963,-107.477448,0.002970,-0.308156,2
18920018081,18.9200,77.275406,-107.477478,0.002981,-0.308156,2
18970018081,18.9700,77.274689,-107.477676,0.002819,-0.308156,2
19020018082,19.0200,77.273903,-107.477722,0.002797,-0.308156,2
19070018083,19.0700,77.272919,-107.477959,0.002600,-0.308156,2
19120018084,19.1200,77.271866,-107.478043,0.002546,-0.308156,2
19170018084,19.1700,77.270599,-107.478317,0.002317,-0.308156,2
19220018085,19.2200,77.269272,-107.478462,0.002232,-0.308156,2
