Timestamp (ns),Time (s),X Position (m),Y Position (m),Yaw (rad),Steering Command,change_gear_times
8103009172,8.1030,71.000000,-107.500000,0.000000,0.000000,1
8153009172,8.1530,71.000000,-107.500000,0.000000,0.000000,1
8203009173,8.2030,71.000000,-107.500000,0.000000,0.000000,1
8253009174,8.2530,71.000000,-107.500000,0.000000,0.000000,1
8303009175,8.3030,71.000000,-107.500000,0.000000,0.000000,1
8353009175,8.3530,71.000000,-107.500000,0.000000,0.000000,1
8403009176,8.4030,71.000000,-107.500000,0.000000,0.000000,1
8453009177,8.4530,71.000000,-107.500000,0.000000,0.000000,1
8503009178,8.5030,71.000000,-107.500000,0.000000,0.000000,1
8553009178,8.5530,71.000000,-107.500000,0.000000,0.000000,1
8603009179,8.6030,71.000000,-107.500000,0.000000,0.000000,1
8653009180,8.6530,71.000000,-107.500000,0.000000,0.000000,1
8703009181,8.7030,71.000000,-107.500000,0.000000,0.000000,1
8753009181,8.7530,71.000000,-107.500000,0.000000,0.000000,1
8803009182,8.8030,71.000000,-107.500000,0.000000,0.000000,1
8853009183,8.8530,71.000000,-107.500000,0.000000,0.000000,1
8903009184,8.9030,71.000000,-107.500000,0.000000,0.000000,1
8953009184,8.9530,71.000000,-107.500000,0.000000,0.000000,1
9003009185,9.0030,71.000000,-107.500000,0.000000,0.000000,1
9053009186,9.0530,71.000000,-107.500000,0.000000,0.000000,1
9103009187,9.1030,71.020287,-107.500000,0.000006,0.000000,1
9153009187,9.1530,71.075020,-107.500000,0.000010,0.000000,1
9203009188,9.2030,71.149643,-107.499939,-0.000137,0.000000,1
9253009189,9.2530,71.236328,-107.499969,-0.000104,0.000000,1
9303009190,9.3030,71.329971,-107.499969,-0.000102,0.000000,1
9353009190,9.3530,71.429192,-107.499969,-0.000102,0.000000,1
9403009191,9.4030,71.532906,-107.499969,-0.000101,0.000000,1
9453009192,9.4530,71.640633,-107.499969,-0.000101,0.000000,1
9503009193,9.5030,71.751892,-107.499969,-0.000101,0.000000,1
9553009193,9.5530,71.866562,-107.499969,-0.000101,0.000000,1
9603009194,9.6030,71.984352,-107.499969,-0.000101,0.000000,1
9653009195,9.6530,72.105255,-107.499969,-0.000101,0.000000,1
9703009196,9.7030,72.229095,-107.499969,-0.000101,0.000000,1
9753009196,9.7530,72.355888,-107.499969,-0.000101,0.000000,1
9803009197,9.8030,72.485497,-107.499969,-0.000101,0.000000,1
9853009198,9.8530,72.617966,-107.499969,-0.000101,0.000000,1
9903009199,9.9030,72.753151,-107.499969,-0.000101,0.000000,1
