Timestamp (ns),Time (s),X Position (m),Y Position (m),Yaw (rad),Steering Command,change_gear_times
9873679260,9.8737,71.257622,-107.499985,-0.000272,0.000000,1
9923679261,9.9237,71.304474,-107.499977,-0.000299,0.000000,1
9973679261,9.9737,71.354324,-107.499985,-0.000278,0.000000,1
10023679262,10.0237,71.408607,-107.499985,-0.000271,0.000000,1
10073679263,10.0737,71.465973,-107.499878,-0.000629,0.000000,1
10123679263,10.1237,71.527061,-107.499832,-0.000845,0.000000,1
10173679264,10.1737,71.591026,-107.499763,-0.001181,0.000000,1
10223679265,10.2237,71.659431,-107.499802,-0.001314,0.000000,1
10273679266,10.2737,71.731285,-107.499893,-0.001320,0.000000,1
10323679266,10.3237,71.807671,-107.499985,-0.001320,0.000000,1
10373679267,10.3737,71.887207,-107.500084,-0.001321,0.000000,1
10423679268,10.4237,71.971046,-107.500183,-0.001320,0.000000,1
10473679269,10.4737,72.057892,-107.500282,-0.001320,0.000000,1
10523679269,10.5237,72.148872,-107.500389,-0.001320,0.000000,1
10573679270,10.5737,72.242767,-107.500526,-0.001320,0.000000,1
10623679271,10.6237,72.340675,-107.500671,-0.001320,0.000000,1
10673679272,10.6737,72.441414,-107.500816,-0.001320,0.000000,1
10723679272,10.7237,72.546059,-107.500961,-0.001320,0.000000,1
10773679273,10.7737,72.653465,-107.501114,-0.001320,0.000000,1
10823679274,10.8237,72.764641,-107.501259,-0.001320,0.000000,1
10873679275,10.8737,72.878510,-107.501404,-0.001320,0.000000,1
10923679275,10.9237,72.996025,-107.501549,-0.001320,0.000000,1
10973679276,10.9737,73.116188,-107.501694,-0.001320,0.000000,1
11023679277,11.0237,73.239868,-107.501846,-0.001320,0.000000,1
11073679278,11.0737,73.366127,-107.501991,-0.001320,0.000000,1
11123679278,11.1237,73.495781,-107.502159,-0.001320,0.000000,1
11173679279,11.1737,73.627968,-107.502350,-0.001320,0.000000,1
11223679280,11.2237,73.763435,-107.502548,-0.001320,0.000000,1
11273679281,11.2737,73.901352,-107.502754,-0.001284,0.000000,1
11323679281,11.3237,74.041603,-107.502968,-0.001234,0.000000,1
11373679282,11.3737,74.183746,-107.503204,-0.001024,0.000000,1
11423679283,11.4237,74.328484,-107.503380,-0.000935,0.000000,1
11473679284,11.4737,74.475410,-107.503593,-0.000741,0.000000,1
11523679284,11.5237,74.624077,-107.503731,-0.000660,0.000000,1
11573679285,11.5737,74.736038,-107.503922,-0.000348,0.000000,1
11623679286,11.6237,74.781197,-107.504021,-0.000269,0.000000,1
11673679287,11.6737,74.782379,-107.504021,-0.000264,0.000000,1
11723679287,11.7237,74.782455,-107.504021,-0.000263,0.000000,1
11773679288,11.7737,74.782585,-107.504021,-0.000263,-0.428738,2
11823679289,11.8237,74.782707,-107.504021,-0.000263,-0.428738,2
11873679290,11.8737,74.782814,-107.504021,-0.000263,-0.428738,2
11923679290,11.9237,74.782906,-107.504021,-0.000262,-0.428738,2
11973679291,11.9737,74.779884,-107.504509,-0.000605,-0.428738,2
12023679292,12.0237,74.777084,-107.505272,-0.001164,-0.428738,2
12073679293,12.0737,74.774483,-107.505775,-0.001486,-0.428738,2
12123679293,12.1237,74.771950,-107.506485,-0.002000,-0.428738,2
12173679294,12.1737,74.769539,-107.506950,-0.002290,-0.428738,2
12223679295,12.2237,74.767151,-107.507614,-0.002782,-0.428738,2
12273679296,12.2737,74.764854,-107.508041,-0.003056,-0.428738,2
12323679296,12.3237,74.762520,-107.508682,-0.003544,-0.428738,2
12373679297,12.3737,74.760201,-107.509109,-0.003829,-0.428738,2
12423679298,12.4237,74.757774,-107.509750,-0.004339,-0.428738,2
12473679299,12.4737,74.755302,-107.510216,-0.004647,-0.428738,2
12523679299,12.5237,74.752716,-107.510895,-0.005183,-0.428738,2
12573679300,12.5737,74.750084,-107.511383,-0.005519,-0.428738,2
12623679301,12.6237,74.747330,-107.512108,-0.006084,-0.428738,2
12673679301,12.6737,74.744293,-107.512680,-0.006501,-0.428738,2
12723679302,12.7237,74.736519,-107.514236,-0.007649,-0.428738,2
12773679303,12.7737,74.719879,-107.517685,-0.010227,-0.428738,2
12823679304,12.8237,74.699257,-107.521881,-0.013606,-0.428738,2
12873679304,12.8737,74.678139,-107.526169,-0.016889,-0.428738,2
12923679305,12.9237,74.655762,-107.530815,-0.020728,-0.428738,2
12973679306,12.9737,74.632744,-107.535332,-0.024638,-0.428738,2
13023679307,13.0237,74.608391,-107.539879,-0.028788,-0.428738,2
13073679307,13.0737,74.580658,-107.545479,-0.033160,-0.428738,2
13123679308,13.1237,74.551735,-107.551277,-0.038073,-0.428738,2
13173679309,13.1737,74.522514,-107.556969,-0.042767,-0.428738,2
13223679310,13.2237,74.492844,-107.562370,-0.047711,-0.428738,2
13273679310,13.2737,74.463570,-107.567657,-0.052469,-0.428738,2
13323679311,13.3237,74.432442,-107.572754,-0.057381,-0.428738,2
13373679312,13.3737,74.399010,-107.577988,-0.062678,-0.428738,2
13423679313,13.4237,74.365158,-107.583374,-0.068364,-0.428738,2
13473679313,13.4737,74.331390,-107.588768,-0.073679,-0.428738,2
13523679314,13.5237,74.298073,-107.593712,-0.079261,-0.428738,2
13573679315,13.5737,74.265190,-107.598618,-0.084382,-0.428738,2
13623679316,13.6237,74.232170,-107.603249,-0.089913,-0.428738,2
13673679316,13.6737,74.197922,-107.607857,-0.095494,-0.428738,2
13723679317,13.7237,74.163918,-107.612350,-0.100964,-0.428738,2
13773679318,13.7737,74.129852,-107.616890,-0.106563,-0.428738,2
13823679319,13.8237,74.095520,-107.620995,-0.112101,-0.428738,2
13873679319,13.8737,74.061119,-107.625092,-0.117835,-0.428738,2
13923679320,13.9237,74.025146,-107.628891,-0.123549,-0.428738,2
13973679321,13.9737,73.985962,-107.632683,-0.130208,-0.428738,2
14023679322,14.0237,73.944458,-107.636581,-0.136714,-0.428738,2
14073679322,14.0737,73.903336,-107.640228,-0.143290,-0.428738,2
14123679323,14.1237,73.862976,-107.643501,-0.149834,-0.428738,2
14173679324,14.1737,73.823067,-107.646469,-0.156241,-0.428738,2
14223679325,14.2237,73.783661,-107.649139,-0.162626,-0.428738,2
14273679325,14.2737,73.744637,-107.651459,-0.168939,-0.428738,2
14323679326,14.3237,73.705910,-107.653564,-0.175237,-0.428738,2
14373679327,14.3737,73.667320,-107.655434,-0.181441,-0.428738,2
14423679328,14.4237,73.629021,-107.657059,-0.187654,-0.428738,2
14473679328,14.4737,73.590836,-107.658363,-0.193854,-0.428738,2
14523679329,14.5237,73.553116,-107.659477,-0.199904,-0.428738,2
14573679330,14.5737,73.516167,-107.660400,-0.205752,-0.428738,2
14623679331,14.6237,73.479454,-107.661102,-0.211503,-0.428738,2
14673679331,14.6737,73.442268,-107.661469,-0.217521,-0.428738,2
14723679332,14.7237,73.404114,-107.661667,-0.223679,-0.428738,2
14773679333,14.7737,73.366165,-107.661674,-0.229760,-0.428738,2
14823679334,14.8237,73.328262,-107.661430,-0.235934,-0.428738,2
14873679334,14.8737,73.290733,-107.660919,-0.241826,-0.428738,2
14923679335,14.9237,73.252777,-107.660202,-0.248017,-0.428738,2
14973679336,14.9737,73.214951,-107.659248,-0.254037,-0.428738,2
15023679336,15.0237,73.177696,-107.658142,-0.259954,-0.428738,2
15073679337,15.0737,73.140228,-107.656807,-0.265900,-0.428738,2
15123679338,15.1237,73.102516,-107.655182,-0.271903,-0.428738,2
15173679339,15.1737,73.063080,-107.653168,-0.278186,-0.428738,2
15223679339,15.2237,73.023125,-107.650955,-0.284854,-0.428738,2
15273679340,15.2737,72.983444,-107.648628,-0.290975,-0.428738,2
15323679341,15.3237,72.941803,-107.645782,-0.297734,-0.428738,2
15373679342,15.3737,72.898033,-107.642410,-0.304860,-0.428738,2
15423679342,15.4237,72.855034,-107.639023,-0.311550,-0.428738,2
15473679343,15.4737,72.812828,-107.635262,-0.318540,-0.428738,2
15523679344,15.5237,72.771164,-107.631432,-0.325031,-0.428738,2
15573679345,15.5737,72.730034,-107.627243,-0.331847,-0.428738,2
15623679345,15.6237,72.689240,-107.622940,-0.338246,-0.428738,2
15673679346,15.6737,72.648994,-107.618248,-0.344973,-0.428738,2
15723679347,15.7237,72.609093,-107.613495,-0.351205,-0.428738,2
15773679348,15.7737,72.569527,-107.608383,-0.357810,-0.428738,2
15823679348,15.8237,72.530067,-107.603172,-0.363993,-0.428738,2
15873679349,15.8737,72.490257,-107.597519,-0.370676,-0.428738,2
15923679350,15.9237,72.447281,-107.591103,-0.377434,-0.428738,2
15973679351,15.9737,72.404968,-107.584503,-0.384463,-0.428738,2
16023679351,16.0237,72.363174,-107.577850,-0.391060,-0.428738,2
16073679352,16.0737,72.322159,-107.570885,-0.397879,-0.428738,2
16123679353,16.1237,72.281525,-107.563866,-0.404292,-0.428738,2
16173679354,16.1737,72.241402,-107.556519,-0.411006,-0.428738,2
16223679354,16.2237,72.200539,-107.548843,-0.417530,-0.428738,2
16273679355,16.2737,72.160255,-107.540878,-0.424294,-0.428738,2
16323679356,16.3237,72.119919,-107.532768,-0.430713,-0.428738,2
16373679357,16.3737,72.080070,-107.524330,-0.437538,-0.428738,2
16423679357,16.4237,72.040535,-107.515869,-0.443769,-0.428738,2
16473679358,16.4737,72.001114,-107.507027,-0.450469,-0.428738,2
16523679359,16.5237,71.961937,-107.498100,-0.456775,-0.428738,2
16573679360,16.5737,71.923080,-107.488815,-0.463358,-0.428738,2
16623679360,16.6237,71.884285,-107.479462,-0.469598,-0.428738,2
16673679361,16.6737,71.845985,-107.469833,-0.476106,-0.428738,2
16723679362,16.7237,71.807526,-107.460014,-0.482303,-0.428738,2
16773679363,16.7737,71.769516,-107.449913,-0.488899,-0.428738,2
16823679363,16.8237,71.731750,-107.439766,-0.494920,-0.428738,2
16873679364,16.8737,71.692116,-107.428642,-0.501745,-0.428738,2
16923679365,16.9237,71.650719,-107.416725,-0.508687,-0.428738,2
16973679366,16.9737,71.609917,-107.404770,-0.515546,-0.428738,2
17023679366,17.0237,71.569733,-107.392670,-0.522283,0.698132,2
17073679367,17.0737,71.557915,-107.389320,-0.523846,0.698132,2
17123679368,17.1237,71.557961,-107.389366,-0.523846,0.698132,2
17173679369,17.1737,71.557938,-107.389351,-0.523846,0.698132,2
17223679369,17.2237,71.557899,-107.389336,-0.523846,0.698132,2
17273679370,17.2737,71.557861,-107.389343,-0.523846,0.698132,2
17323679371,17.3237,71.557823,-107.389351,-0.523847,0.698132,2
17373679372,17.3737,71.555222,-107.386894,-0.523178,0.698132,2
17423679372,17.4237,71.551506,-107.382263,-0.521524,0.698132,2
17473679373,17.4737,71.544815,-107.374130,-0.518784,0.698132,2
17523679374,17.5237,71.535149,-107.362953,-0.515327,0.698132,2
17573679374,17.5737,71.524727,-107.349930,-0.510660,0.698132,2
17623679375,17.6237,71.513443,-107.335915,-0.505774,0.698132,2
17673679376,17.6737,71.501579,-107.321831,-0.501241,0.698132,2
17723679377,17.7237,71.489082,-107.307076,-0.496459,0.698132,2
17773679377,17.7737,71.476631,-107.292099,-0.491267,0.698132,2
17823679378,17.8237,71.463982,-107.277428,-0.486132,0.698132,2
17873679379,17.8737,71.448013,-107.259392,-0.479800,0.698132,2
17923679380,17.9237,71.430832,-107.239716,-0.473010,0.698132,2
17973679380,17.9737,71.413551,-107.220085,-0.465940,0.698132,2
18023679381,18.0237,71.395485,-107.199669,-0.458765,0.698132,2
18073679382,18.0737,71.375542,-107.177956,-0.450383,0.698132,2
18123679383,18.1237,71.355392,-107.155533,-0.442114,0.698132,2
18173679383,18.1737,71.334801,-107.133148,-0.433999,0.698132,2
18223679384,18.2237,71.314049,-107.110611,-0.425533,0.698132,2
18273679385,18.2737,71.292046,-107.087608,-0.417001,0.698132,2
18323679386,18.3237,71.270004,-107.064522,-0.408226,0.698132,2
18373679386,18.3737,71.247093,-107.041328,-0.399525,0.698132,2
18423679387,18.4237,71.224007,-107.017868,-0.390444,0.698132,2
18473679388,18.4737,71.200409,-106.994743,-0.381642,0.698132,2
18523679389,18.5237,71.176544,-106.971436,-0.372528,0.698132,2
18573679389,18.5737,71.152176,-106.948463,-0.363576,0.698132,2
18623679390,18.6237,71.127525,-106.925346,-0.354267,0.698132,2
18673679391,18.6737,71.101921,-106.902191,-0.345016,0.698132,2
18723679392,18.7237,71.076302,-106.878922,-0.335583,0.698132,2
18773679392,18.7737,71.050125,-106.856033,-0.326320,0.698132,2
18823679393,18.8237,71.023796,-106.833084,-0.316766,0.698132,2
18873679394,18.8737,70.996857,-106.810333,-0.307382,0.698132,2
18923679395,18.9237,70.969704,-106.787567,-0.297685,0.698132,2
18973679395,18.9737,70.942024,-106.765190,-0.288201,0.698132,2
19023679396,19.0237,70.914169,-106.742744,-0.278423,0.698132,2
19073679397,19.0737,70.885674,-106.720505,-0.268806,0.698132,2
19123679398,19.1237,70.856956,-106.698257,-0.258872,0.698132,2
19173679398,19.1737,70.827690,-106.676422,-0.249145,0.698132,2
19223679399,19.2237,70.798233,-106.654556,-0.239122,0.698132,2
19273679400,19.2737,70.768135,-106.632927,-0.229256,0.698132,2
19323679401,19.3237,70.737793,-106.611313,-0.219076,0.698132,2
19373679401,19.3737,70.706924,-106.590134,-0.209106,0.698132,2
19423679402,19.4237,70.675850,-106.568939,-0.198845,0.698132,2
19473679403,19.4737,70.644188,-106.548065,-0.188750,0.698132,2
19523679404,19.5237,70.612297,-106.527252,-0.178351,0.698132,2
19573679404,19.5737,70.579918,-106.506920,-0.168173,0.698132,2
19623679405,19.6237,70.547356,-106.486626,-0.157711,0.698132,2
19673679406,19.6737,70.514229,-106.466705,-0.147426,0.698132,2
19723679407,19.7237,70.480904,-106.446892,-0.136850,0.698132,2
19773679407,19.7737,70.447151,-106.427605,-0.126503,0.698132,2
19823679408,19.8237,70.413239,-106.408394,-0.115882,0.698132,2
19873679409,19.8737,70.378822,-106.389626,-0.105453,0.698132,2
19923679410,19.9237,70.344231,-106.371002,-0.094743,0.698132,2
19973679410,19.9737,70.309235,-106.352928,-0.084271,0.698132,2
20023679411,20.0237,70.274109,-106.334946,-0.073532,0.698132,2
20073679412,20.0737,70.238525,-106.317490,-0.062999,0.698132,2
20123679412,20.1237,70.202789,-106.300163,-0.052190,0.698132,2
20173679413,20.1737,70.166695,-106.283432,-0.041622,0.698132,2
20223679414,20.2237,70.130478,-106.266830,-0.030787,0.698132,2
20273679415,20.2737,70.093849,-106.250771,-0.020171,0.000000,3
20323679415,20.3237,70.082542,-106.245117,-0.017215,-0.698132,3
20373679416,20.3737,70.085541,-106.245399,-0.017421,-0.698132,3
20423679417,20.4237,70.102798,-106.246452,-0.017260,-0.698132,3
20473679418,20.4737,70.130630,-106.245964,-0.016029,-0.698132,3
20523679418,20.5237,70.165054,-106.243073,-0.013242,-0.698132,3
20573679419,20.5737,70.201767,-106.237419,-0.008868,-0.698132,3
20623679420,20.6237,70.239655,-106.229042,-0.002438,-0.698132,3
20673679421,20.6737,70.276176,-106.218246,0.005812,-0.698132,3
20723679421,20.7237,70.312057,-106.204865,0.015797,-0.698132,3
20773679422,20.7737,70.347267,-106.190750,0.026052,-0.698132,3
20823679423,20.8237,70.383049,-106.175850,0.036502,-0.698132,3
20873679424,20.8737,70.418159,-106.160713,0.046657,-0.698132,3
20923679424,20.9237,70.453835,-106.144676,0.057155,0.698132,3
20973679425,20.9737,70.490448,-106.129951,0.066264,0.698132,3
21023679426,21.0237,70.530083,-106.118835,0.071930,0.698132,3
21073679427,21.0737,70.570999,-106.112724,0.073871,0.698132,3
21123679427,21.1237,70.612480,-106.110710,0.072657,0.698132,3
21173679428,21.1737,70.653717,-106.111504,0.069193,0.000000,3
21223679429,21.2237,70.666428,-106.112305,0.068293,0.000000,3
21273679430,21.2737,70.666367,-106.112320,0.068293,0.000000,3
21323679430,21.3237,70.666382,-106.112335,0.068293,0.000000,3
21373679431,21.3737,70.666428,-106.112320,0.068293,0.000000,4
21423679432,21.4237,70.666466,-106.112312,0.068293,-0.698132,4
21473679433,21.4737,70.666504,-106.112289,0.068293,-0.698132,4
21523679433,21.5237,70.666534,-106.112282,0.068293,-0.698132,4
21573679434,21.5737,70.663193,-106.112900,0.067997,-0.698132,4
21623679435,21.6237,70.660225,-106.113892,0.067391,-0.698132,4
21673679436,21.6737,70.657608,-106.114754,0.066951,-0.698132,4
21723679436,21.7237,70.655334,-106.115967,0.066151,-0.698132,4
21773679437,21.7737,70.653175,-106.116890,0.065677,-0.698132,4
21823679438,21.8237,70.651169,-106.118057,0.064910,-0.698132,4
21873679439,21.8737,70.649185,-106.118904,0.064486,-0.698132,4
21923679439,21.9237,70.647339,-106.119987,0.063762,-0.698132,4
21973679440,21.9737,70.645477,-106.120750,0.063373,-0.698132,4
22023679441,22.0237,70.643707,-106.121788,0.062666,-0.698132,4
22073679442,22.0737,70.641846,-106.122528,0.062277,-0.698132,4
22123679442,22.1237,70.640030,-106.123566,0.061559,-0.698132,4
22173679443,22.1737,70.638115,-106.124336,0.061155,-0.698132,4
22223679444,22.2237,70.636230,-106.125397,0.060420,-0.698132,4
22273679445,22.2737,70.634247,-106.126190,0.059997,-0.698132,4
22323679445,22.3237,70.632294,-106.127289,0.059241,-0.698132,4
22373679446,22.3737,70.630241,-106.128120,0.058799,-0.698132,4
22423679447,22.4237,70.628235,-106.129234,0.058025,-0.698132,4
22473679448,22.4737,70.626122,-106.130096,0.057565,-0.698132,4
22523679448,22.5237,70.624046,-106.131248,0.056774,-0.698132,4
22573679449,22.5737,70.621880,-106.132118,0.056298,-0.698132,4
22623679450,22.6237,70.619751,-106.133286,0.055491,-0.698132,4
22673679450,22.6737,70.617523,-106.134193,0.054999,-0.698132,4
22723679451,22.7237,70.615349,-106.135391,0.054178,-0.698132,4
22773679452,22.7737,70.613083,-106.136284,0.053671,-0.698132,4
22823679453,22.8237,70.610832,-106.137520,0.052828,-0.698132,4
22873679453,22.8737,70.608475,-106.138458,0.052294,-0.698132,4
22923679454,22.9237,70.606094,-106.139740,0.051411,-0.698132,4
22973679455,22.9737,70.600883,-106.141785,0.049631,-0.698132,4
23023679456,23.0237,70.592865,-106.145309,0.047295,-0.698132,4
23073679456,23.0737,70.584106,-106.149178,0.044751,-0.698132,4
23123679457,23.1237,70.574295,-106.153435,0.041854,-0.698132,4
23173679458,23.1737,70.565056,-106.157631,0.039379,-0.698132,4
23223679459,23.2237,70.555244,-106.162018,0.036184,-0.698132,4
23273679459,23.2737,70.544701,-106.166763,0.033103,-0.698132,4
23323679460,23.3237,70.533920,-106.171425,0.029897,-0.698132,4
23373679461,23.3737,70.523521,-106.175972,0.026816,-0.698132,4
23423679462,23.4237,70.513199,-106.180573,0.023809,-0.698132,4
23473679462,23.4737,70.503349,-106.184654,0.020821,-0.698132,4
