Timestamp (ns),Time (s),X Position (m),Y Position (m),Yaw (rad),Steering Command,change_gear_times
9670484503,9.6705,71.000000,-107.500000,0.000000,0.000000,1
9720484504,9.7205,71.000000,-107.500000,0.000000,0.000000,1
9770484504,9.7705,71.000000,-107.500000,0.000000,0.000000,1
9820484505,9.8205,71.000000,-107.500000,0.000000,0.000000,1
9870484506,9.8705,71.000000,-107.500000,0.000000,0.000000,1
9920484506,9.9205,71.000000,-107.500000,0.000000,0.000000,1
9970484507,9.9705,71.000000,-107.500000,0.000000,0.000000,1
10020484508,10.0205,71.000000,-107.500000,0.000000,0.000000,1
10070484509,10.0705,71.000000,-107.500000,0.000000,0.000000,1
10120484509,10.1205,71.000000,-107.500000,0.000000,0.000000,1
10170484510,10.1705,71.000000,-107.500000,0.000000,0.000000,1
10220484511,10.2205,71.000000,-107.500000,0.000000,0.000000,1
10270484512,10.2705,71.020287,-107.500000,0.000006,0.000000,1
10320484512,10.3205,71.075035,-107.500000,0.000010,0.000000,1
10370484513,10.3705,71.149590,-107.500000,-0.000028,0.000000,1
10420484514,10.4205,71.235641,-107.499969,-0.000092,0.000000,1
10470484515,10.4705,71.328865,-107.499977,-0.000076,0.000000,1
10520484515,10.5205,71.427734,-107.499969,-0.000097,0.000000,1
10570484516,10.5705,71.531242,-107.499977,-0.000079,0.000000,1
10620484517,10.6205,71.638756,-107.499969,-0.000097,0.000000,1
10670484518,10.6705,71.749893,-107.499977,-0.000079,0.000000,1
10720484518,10.7205,71.864388,-107.499969,-0.000096,0.000000,1
10770484519,10.7705,71.982071,-107.499977,-0.000080,0.000000,1
10820484520,10.8205,72.102829,-107.499969,-0.000095,0.000000,1
10870484521,10.8705,72.226570,-107.499977,-0.000080,0.000000,1
10920484521,10.9205,72.353233,-107.499969,-0.000095,0.000000,1
10970484522,10.9705,72.482758,-107.499977,-0.000080,0.000000,1
11020484523,11.0205,72.615089,-107.499969,-0.000094,0.000000,1
11070484524,11.0705,72.750198,-107.499977,-0.000080,0.000000,1
11120484524,11.1205,72.888039,-107.499969,-0.000094,0.000000,1
11170484525,11.1705,73.028557,-107.499977,-0.000081,0.000000,1
11220484526,11.2205,73.171738,-107.499969,-0.000094,0.000000,1
11270484527,11.2705,73.317535,-107.499977,-0.000081,0.000000,1
11320484527,11.3205,73.465919,-107.499969,-0.000093,0.000000,1
