Timestamp (ns),Time (s),X Position (m),Y Position (m),Yaw (rad),Steering Command,change_gear_times
18331269538,18.3313,71.000000,-107.500000,0.000000,0.000000,1
18381269539,18.3813,71.000000,-107.500000,0.000000,0.000000,1
18431269540,18.4313,71.000000,-107.500000,0.000000,0.000000,1
18481269540,18.4813,71.000000,-107.500000,0.000000,0.000000,1
18531269541,18.5313,71.000000,-107.500000,0.000000,0.000000,1
18581269542,18.5813,71.000000,-107.500000,0.000000,0.000000,1
18631269543,18.6313,71.000000,-107.500000,0.000000,0.000000,1
18681269543,18.6813,71.000000,-107.500000,0.000000,0.000000,1
18731269544,18.7313,71.000000,-107.500000,0.000000,0.000000,1
18781269545,18.7813,71.000000,-107.500000,0.000000,0.000000,1
18831269546,18.8313,71.020287,-107.500000,0.000006,0.000000,1
18881269546,18.8813,71.075020,-107.500000,0.000011,0.000000,1
18931269547,18.9313,71.149773,-107.499939,-0.000146,0.000000,1
18981269548,18.9813,71.235962,-107.499947,-0.000102,0.000000,1
19031269549,19.0313,71.331017,-107.499985,0.000004,0.000000,1
19081269549,19.0813,71.431229,-107.500092,0.000357,0.000000,1
19131269550,19.1313,71.536339,-107.500114,0.000575,0.000000,1
19181269551,19.1813,71.645042,-107.500160,0.000932,0.000000,1
19231269552,19.2313,71.757629,-107.500137,0.001131,0.000000,1
19281269552,19.2813,71.873222,-107.500107,0.001459,0.000000,1
19331269553,19.3313,71.992317,-107.499985,0.001637,0.000000,1
19381269554,19.3813,72.114174,-107.499901,0.001940,0.000000,1
19431269555,19.4313,72.239311,-107.499702,0.002098,0.000000,1
19481269555,19.4813,72.367088,-107.499527,0.002376,0.000000,1
19531269556,19.5313,72.498024,-107.499275,0.002513,0.000000,1
19581269557,19.5813,72.631508,-107.499008,0.002766,0.000000,1
19631269558,19.6313,72.768044,-107.498680,0.002884,0.000000,1
19681269558,19.6813,72.907051,-107.498360,0.003113,0.000000,1
19731269559,19.7313,73.049019,-107.497955,0.003211,0.000000,1
19781269560,19.7813,73.193405,-107.497543,0.003415,0.000000,1
19831269561,19.8313,73.340645,-107.497078,0.003495,0.000000,1
19881269561,19.8813,73.490242,-107.496613,0.003676,0.000000,1
19931269562,19.9313,73.642616,-107.496078,0.003737,0.000000,1
19981269563,19.9813,73.797295,-107.495544,0.003898,0.000000,1
20031269564,20.0313,73.954651,-107.494949,0.003942,0.000000,1
20081269564,20.0813,74.114258,-107.494362,0.004082,0.000000,1
20131269565,20.1313,74.276459,-107.493706,0.004111,0.000000,1
20181269566,20.1813,74.440842,-107.493065,0.004231,0.000000,1
20231269567,20.2313,74.607742,-107.492378,0.004248,0.000000,1
20281269567,20.2813,74.776779,-107.491676,0.004351,0.000000,1
20331269568,20.3313,74.948242,-107.490944,0.004356,0.000000,1
20381269569,20.3813,75.121773,-107.490204,0.004444,0.000000,1
20431269570,20.4313,75.297653,-107.489418,0.004439,0.000000,1
20481269570,20.4813,75.475563,-107.488670,0.004512,0.000000,1
20531269571,20.5313,75.655739,-107.487846,0.004499,0.000000,1
20581269572,20.5813,75.837875,-107.487038,0.004559,0.000000,1
20631269573,20.6313,76.022202,-107.486206,0.004539,0.000000,1
20681269573,20.6813,76.207451,-107.485397,0.004596,0.000000,1
20731269574,20.7313,76.356812,-107.484657,0.004464,0.000000,1
20781269575,20.7813,76.439018,-107.484245,0.004417,0.000000,1
20831269575,20.8313,76.458145,-107.484146,0.004412,0.000000,1
20881269576,20.8813,76.458145,-107.484146,0.004412,0.000000,1
20931269577,20.9313,76.458290,-107.484146,0.004412,0.000000,1
20981269578,20.9813,76.458458,-107.484146,0.004412,-0.449635,2
21031269578,21.0313,76.458595,-107.484146,0.004413,-0.449635,2
21081269579,21.0813,76.458702,-107.484146,0.004413,-0.449635,2
21131269580,21.1313,76.458794,-107.484146,0.004414,-0.449635,2
21181269581,21.1813,76.456345,-107.484558,0.004151,-0.449635,2
21231269581,21.2313,76.454079,-107.485222,0.003654,-0.449635,2
21281269582,21.2813,76.451973,-107.485649,0.003399,-0.449635,2
21331269583,21.3313,76.449921,-107.486275,0.002939,-0.449635,2
21381269584,21.3813,76.447952,-107.486679,0.002710,-0.449635,2
21431269584,21.4313,76.445984,-107.487267,0.002262,-0.449635,2
21481269585,21.4813,76.444023,-107.487633,0.002029,-0.449635,2
21531269586,21.5313,76.441978,-107.488243,0.001560,-0.449635,2
21581269587,21.5813,76.439880,-107.488640,0.001301,-0.449635,2
21631269587,21.6313,76.437668,-107.489288,0.000804,-0.449635,2
21681269588,21.6813,76.435402,-107.489723,0.000515,-0.449635,2
21731269589,21.7313,76.433014,-107.490410,-0.000013,-0.449635,2
21781269590,21.7813,76.430557,-107.490898,-0.000334,-0.449635,2
21831269590,21.8313,76.427986,-107.491615,-0.000894,-0.449635,2
21881269591,21.8813,76.425346,-107.492149,-0.001250,-0.449635,2
21931269592,21.9313,76.422462,-107.492920,-0.001898,-0.449635,2
21981269593,21.9813,76.413292,-107.495277,-0.003197,-0.449635,2
22031269593,22.0313,76.393044,-107.499802,-0.006871,-0.449635,2
22081269594,22.0813,76.371414,-107.504829,-0.010578,-0.449635,2
22131269595,22.1313,76.349991,-107.509674,-0.014326,-0.449635,2
22181269596,22.1813,76.328308,-107.514687,-0.018070,-0.449635,2
22231269596,22.2313,76.304184,-107.520004,-0.022165,-0.449635,2
22281269597,22.2813,76.276123,-107.525810,-0.027368,-0.449635,2
22331269598,22.3313,76.246544,-107.532166,-0.032646,-0.449635,2
22381269599,22.3813,76.217178,-107.538277,-0.037596,-0.449635,2
22431269599,22.4313,76.188171,-107.544167,-0.042584,-0.449635,2
22481269600,22.4813,76.156784,-107.550270,-0.047921,-0.449635,2
22531269601,22.5313,76.124565,-107.556442,-0.053644,-0.449635,2
22581269602,22.5813,76.089943,-107.562714,-0.059909,-0.449635,2
22631269602,22.6313,76.055412,-107.568886,-0.065808,-0.449635,2
22681269603,22.6813,76.021324,-107.575043,-0.071716,-0.449635,2
22731269604,22.7313,75.986938,-107.580688,-0.077828,-0.449635,2
22781269605,22.7813,75.947830,-107.586830,-0.084550,-0.449635,2
22831269605,22.8313,75.909454,-107.592781,-0.090973,-0.449635,2
