x,y,elapsed_s,velocity_ms,accel_ms2,jerk_ms3,direction,wheel_angle_deg
10.0,12.0,0.209,2.0854,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.221,2.2163,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.237,2.3281,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.255,2.5509,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.273,2.7781,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.29,2.8883,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.307,3.0361,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.324,3.2868,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.352,3.5384,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.368,3.6337,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.386,3.8963,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.403,3.9905,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.42,4.1302,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.441,4.3711,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.459,3.9106,-0.0001,-0.0039,STATIONARY,0.0
10.0,12.0,0.485,2.217,0.0,0.0037,STATIONARY,0.0
10.0,12.0,0.501,1.7423,0.0,-0.0003,STATIONARY,0.0
10.0002,12.0,0.522,0.1055,0.0451,3.1663,STATIONARY,0.0
10.0002,12.0,0.541,0.151,0.0302,-1.307,STATIONARY,0.0
10.0004,12.0,0.563,0.2256,0.0167,-0.904,STATIONARY,0.0
10.0004,12.0,0.58,0.2451,0.0117,-0.3362,STATIONARY,0.0
10.0004,12.0,0.597,0.2578,0.0075,-0.2201,STATIONARY,0.0
10.0004,12.0,0.614,0.2591,0.0042,-0.2146,STATIONARY,0.0
10.0004,12.0,0.63,0.2562,0.0026,-0.1152,STATIONARY,0.0
10.0004,12.0,0.647,0.2498,0.0014,-0.0772,STATIONARY,0.0
10.0003,12.0,0.664,0.2409,0.0003,-0.0772,STATIONARY,0.0
10.0003,12.0,0.685,0.2195,-0.001,-0.1166,STATIONARY,0.0
10.0003,12.0,0.702,0.2073,-0.0006,0.0287,STATIONARY,0.0
10.0003,12.0,0.719,0.1923,-0.0009,-0.0208,STATIONARY,0.0
10.0002,12.0,0.736,0.1783,-0.0011,-0.0131,STATIONARY,0.0
10.0002,12.0,0.752,0.1642,-0.001,0.0049,STATIONARY,0.0
10.0002,12.0,0.771,0.1435,-0.0009,0.0076,STATIONARY,0.0
10.0002,12.0,0.789,0.1329,-0.0009,0.004,STATIONARY,0.0
10.0002,12.0,0.808,0.1143,-0.0007,0.0103,STATIONARY,0.0
10.0001,12.0,0.824,0.1065,-0.0008,-0.0056,STATIONARY,0.0
10.0001,12.0,0.842,0.0966,-0.0006,0.0119,STATIONARY,0.0
10.0001,12.0,0.86,0.0812,-0.0005,0.0171,STATIONARY,0.0
10.0001,12.0,0.877,0.077,-0.0007,-0.0162,STATIONARY,0.0
10.0001,12.0,0.895,0.0637,-0.0005,0.0156,STATIONARY,0.0
10.0001,12.0,0.911,0.0584,-0.0004,0.012,STATIONARY,0.0
10.0001,12.0,0.929,0.0507,-0.0004,0.0002,STATIONARY,0.0
10.0001,12.0,0.949,0.0457,-0.0003,0.0028,STATIONARY,0.0
10.0001,12.0,0.964,0.0431,-0.0003,-0.0014,STATIONARY,0.0
10.0001,12.0,0.985,0.0353,-0.0003,0.0052,STATIONARY,0.0
10.0,12.0,1.003,0.0295,-0.0002,0.009,STATIONARY,0.0
10.0,12.0,1.022,0.028,-0.0002,-0.0037,STATIONARY,0.0
10.0,12.0,1.039,0.025,-0.0002,0.004,STATIONARY,0.0
10.0,12.0,1.059,0.0206,-0.0002,0.001,STATIONARY,0.0
10.0,12.0,1.076,0.0176,-0.0001,0.0016,STATIONARY,0.0
10.0,12.0,1.093,0.0157,-0.0001,0.0005,STATIONARY,0.0
10.0,12.0,1.113,0.014,-0.0001,0.0014,STATIONARY,0.0
10.0,12.0,1.131,0.0119,-0.0001,0.0013,STATIONARY,0.0
10.0,12.0,1.153,0.0098,-0.0001,0.0006,STATIONARY,0.0
10.0,12.0,1.17,0.0077,-0.0001,0.0009,STATIONARY,0.0
10.0,12.0,1.186,0.0079,-0.0001,-0.0001,STATIONARY,0.0
10.0,12.0,1.203,0.007,-0.0001,0.0006,STATIONARY,0.0
10.0,12.0,1.223,0.0056,-0.0001,0.0007,STATIONARY,0.0
10.0,12.0,1.239,0.0057,-0.0001,0.0003,STATIONARY,0.0
10.0,12.0,1.256,0.0026,-0.0,0.0005,STATIONARY,0.0
10.0,12.0,1.272,0.0046,-0.0,0.0,STATIONARY,0.0
10.0,12.0,1.295,0.0046,-0.0,0.0005,STATIONARY,0.0
10.0,12.0,1.312,0.0029,-0.0,0.0007,STATIONARY,0.0
10.0,12.0,1.329,0.002,-0.0,-0.0,STATIONARY,0.0
10.0,12.0,1.352,0.0025,-0.0,0.0002,STATIONARY,0.0
10.0,12.0,1.368,0.001,-0.0,0.0003,STATIONARY,0.0
10.0,12.0,1.389,0.0024,-0.0,0.0002,STATIONARY,0.0
10.0,12.0,1.406,0.0,-0.0002,-0.0149,STATIONARY,0.0
10.0,12.0,1.422,0.0002,0.0001,0.0195,STATIONARY,0.0
10.0,12.0,1.443,0.0004,0.0,-0.0037,STATIONARY,0.0
10.0,12.0,1.459,0.0011,0.0,-0.0006,STATIONARY,0.0
10.0,12.0,1.483,0.0006,0.0,-0.0006,STATIONARY,0.0
10.0,12.0,1.5,0.0002,-0.0,-0.0001,STATIONARY,0.0
10.0,12.0,1.521,0.0006,-0.0,-0.0003,STATIONARY,0.0
10.0,12.0,1.538,0.0004,-0.0,0.0001,STATIONARY,0.0
10.0,12.0,1.554,0.0007,-0.0,-0.0003,STATIONARY,0.0
10.0,12.0,1.574,0.0007,-0.0,0.0001,STATIONARY,0.0
10.0,12.0,1.59,0.0014,-0.0,0.0001,STATIONARY,0.0
10.0,12.0,1.609,0.0003,-0.0,0.0001,STATIONARY,0.0
10.0,12.0,1.632,0.0009,-0.0,-0.0001,STATIONARY,0.0
10.0,12.0,1.648,0.001,-0.0,0.0001,STATIONARY,0.0
10.0,12.0,1.67,0.0013,-0.0,0.0001,STATIONARY,0.0
10.0,12.0,1.688,0.0004,-0.0,-0.0,STATIONARY,0.0
10.0,12.0,1.703,0.0004,-0.0,0.0001,STATIONARY,0.0
10.0,12.0,1.725,0.0006,-0.0,0.0001,STATIONARY,0.0
10.0,12.0,1.742,0.0001,-0.0,-0.0001,STATIONARY,0.0
10.0,12.0,1.759,0.0002,-0.0,-0.0001,STATIONARY,0.0
10.0,12.0,1.776,0.0003,-0.0,0.0001,STATIONARY,0.0
10.0,12.0,1.799,0.0008,-0.0,-0.0001,STATIONARY,0.0
10.0,12.0,1.815,0.0006,-0.0,0.0002,STATIONARY,0.0
10.0,12.0,1.838,0.0017,0.0,0.0005,STATIONARY,0.0
10.0,12.0,1.854,0.0012,0.0,-0.0001,STATIONARY,0.0
10.0,12.0,1.875,0.0007,0.0,-0.0001,STATIONARY,0.0
10.0,12.0,1.891,0.0009,-0.0,-0.0001,STATIONARY,0.0
10.0,12.0,1.913,0.0008,0.0,0.0001,STATIONARY,0.0
10.0,12.0,1.93,0.0003,-0.0,-0.0001,STATIONARY,0.0
10.0,12.0,1.956,0.0,-0.0,-0.0001,STATIONARY,0.0
10.0,12.0,1.974,0.0001,0.0,0.0002,STATIONARY,0.0
10.0,12.0,1.99,0.003,-0.0,-0.0005,STATIONARY,0.0
10.0,12.0,2.014,0.0022,-0.0,0.0002,STATIONARY,0.0
10.0,12.0,2.03,0.0018,-0.0,-0.0001,STATIONARY,0.0
10.0,12.0,2.047,0.0011,0.0,0.0001,STATIONARY,0.0
10.0,12.0,2.064,0.0013,-0.0,-0.0,STATIONARY,0.0
10.0,12.0,2.086,0.0007,-0.0,-0.0001,STATIONARY,0.0
10.0,12.0,2.103,0.0001,0.0,0.0002,STATIONARY,0.0
10.0,12.0,2.124,0.0006,-0.0,-0.0001,STATIONARY,0.0
10.0,12.0,2.14,0.0,-0.0,-0.0002,STATIONARY,0.0
10.0,12.0,2.156,0.0013,0.0,0.0003,STATIONARY,0.0
10.0,12.0,2.178,0.0008,0.0,-0.0001,STATIONARY,0.0
10.0,12.0,2.194,0.0009,0.0,-0.0,STATIONARY,0.0
10.0,12.0,2.211,0.0003,0.0,0.0,STATIONARY,0.0
