x,y,elapsed_s,velocity_ms,accel_ms2,jerk_ms3,direction,wheel_angle_deg
10.0,12.0,0.25,2.5086,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.277,2.735,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.3,2.9859,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.316,3.128,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.337,3.3779,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.355,3.5131,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.375,3.7426,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.392,3.8664,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.414,4.1256,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.431,4.2544,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.449,4.5036,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.469,4.6822,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.486,4.8137,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.502,4.942,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.526,4.6169,-0.0001,-0.0057,STATIONARY,0.0
10.0,12.0,0.545,2.952,0.0,0.0077,STATIONARY,0.0
10.0,12.0,0.566,2.317,0.0,-0.0001,STATIONARY,0.0
10.0,12.0,0.582,0.062,-0.0129,-0.7267,STATIONARY,0.0
10.0001,12.0,0.599,0.1285,0.0126,1.8027,STATIONARY,0.0
10.0001,12.0,0.627,0.2138,0.0066,-0.4505,STATIONARY,0.0
10.0001,12.0,0.644,0.2397,0.0046,-0.1202,STATIONARY,0.0
10.0001,12.0,0.668,0.2577,0.0019,-0.1873,STATIONARY,0.0
10.0001,12.0,0.687,0.2575,0.0012,-0.0416,STATIONARY,0.0
10.0001,12.0,0.707,0.2504,0.0005,-0.0379,STATIONARY,0.0
10.0001,12.0,0.724,0.2402,0.0001,-0.0257,STATIONARY,0.0
10.0001,12.0,0.743,0.2232,-0.0002,-0.0103,STATIONARY,0.0
10.0001,12.0,0.763,0.2096,-0.0003,-0.0067,STATIONARY,0.0
10.0001,12.0,0.786,0.1915,-0.0004,-0.006,STATIONARY,0.0
10.0001,12.0,0.805,0.1729,-0.0004,0.0006,STATIONARY,0.0
10.0001,12.0,0.82,0.1572,-0.0003,0.0016,STATIONARY,0.0
10.0001,12.0,0.844,0.1378,-0.0004,-0.0011,STATIONARY,0.0
10.0,12.0,0.862,0.1254,-0.0003,0.0025,STATIONARY,0.0
10.0,12.0,0.877,0.1128,-0.0003,0.002,STATIONARY,0.0
10.0,12.0,0.894,0.1025,-0.0003,0.0009,STATIONARY,0.0
10.0,12.0,0.909,0.093,-0.0002,0.0022,STATIONARY,0.0
10.0,12.0,0.926,0.085,-0.0002,0.0012,STATIONARY,0.0
10.0,12.0,0.943,0.0763,-0.0002,0.0023,STATIONARY,0.0
10.0,12.0,0.968,0.0631,-0.0002,0.002,STATIONARY,0.0
10.0,12.0,0.986,0.0561,-0.0001,0.0014,STATIONARY,0.0
10.0,12.0,1.002,0.0495,-0.0001,0.0006,STATIONARY,0.0
10.0,12.0,1.02,0.0452,-0.0001,0.0005,STATIONARY,0.0
10.0,12.0,1.047,0.0363,-0.0001,0.0019,STATIONARY,0.0
10.0,12.0,1.065,0.0317,-0.0001,0.0007,STATIONARY,0.0
10.0,12.0,1.082,0.0277,-0.0001,0.0004,STATIONARY,0.0
10.0,12.0,1.099,0.0258,-0.0001,0.0003,STATIONARY,0.0
10.0,12.0,1.115,0.0215,-0.0001,0.0007,STATIONARY,0.0
10.0,12.0,1.141,0.0192,-0.0001,0.0004,STATIONARY,0.0
10.0,12.0,1.158,0.0159,-0.0,0.0008,STATIONARY,0.0
10.0,12.0,1.175,0.0144,-0.0,0.0001,STATIONARY,0.0
10.0,12.0,1.2,0.0124,-0.0,0.0003,STATIONARY,0.0
10.0,12.0,1.217,0.0092,-0.0,0.0004,STATIONARY,0.0
10.0,12.0,1.234,0.0085,-0.0,0.0001,STATIONARY,0.0
10.0,12.0,1.249,0.0077,-0.0,0.0002,STATIONARY,0.0
10.0,12.0,1.274,0.0059,-0.0,0.0004,STATIONARY,0.0
10.0,12.0,1.292,0.006,-0.0,0.0001,STATIONARY,0.0
10.0,12.0,1.307,0.0052,-0.0,0.0001,STATIONARY,0.0
10.0,12.0,1.324,0.0044,-0.0,0.0003,STATIONARY,0.0
10.0,12.0,1.339,0.002,-0.0,-0.0,STATIONARY,0.0
10.0,12.0,1.357,0.0036,-0.0,0.0001,STATIONARY,0.0
10.0,12.0,1.384,0.0027,-0.0,0.0001,STATIONARY,0.0
10.0,12.0,1.4,0.0019,-0.0,0.0001,STATIONARY,0.0
10.0,12.0,1.42,0.0015,-0.0,0.0002,STATIONARY,0.0
10.0,12.0,1.437,0.0002,-0.0,-0.0,STATIONARY,0.0
10.0,12.0,1.459,0.0033,-0.0,-0.0002,STATIONARY,0.0
10.0,12.0,1.477,0.0004,-0.0,-0.001,STATIONARY,0.0
10.0,12.0,1.499,0.0008,0.0,0.0023,STATIONARY,0.0
10.0,12.0,1.513,0.0012,0.0,-0.0002,STATIONARY,0.0
10.0,12.0,1.53,0.0009,0.0,-0.0003,STATIONARY,0.0
10.0,12.0,1.546,0.0012,0.0,-0.0,STATIONARY,0.0
10.0,12.0,1.569,0.0016,-0.0,-0.0002,STATIONARY,0.0
10.0,12.0,1.587,0.0008,-0.0,-0.0,STATIONARY,0.0
10.0,12.0,1.603,0.0002,-0.0,-0.0,STATIONARY,0.0
10.0,12.0,1.626,0.0021,-0.0,0.0002,STATIONARY,0.0
10.0,12.0,1.643,0.0007,-0.0,-0.0001,STATIONARY,0.0
10.0,12.0,1.665,0.0012,-0.0,-0.0001,STATIONARY,0.0
10.0,12.0,1.682,0.0009,-0.0,0.0002,STATIONARY,0.0
10.0,12.0,1.7,0.0012,-0.0,-0.0001,STATIONARY,0.0
10.0,12.0,1.717,0.0,-0.0,0.0001,STATIONARY,0.0
10.0,12.0,1.733,0.0006,-0.0,-0.0,STATIONARY,0.0
10.0,12.0,1.749,0.0,0.0,0.0001,STATIONARY,0.0
10.0,12.0,1.766,0.0001,-0.0,-0.0001,STATIONARY,0.0
10.0,12.0,1.784,0.0019,-0.0,0.0001,STATIONARY,0.0
10.0,12.0,1.802,0.0014,-0.0,-0.0002,STATIONARY,0.0
10.0,12.0,1.818,0.0006,-0.0,0.0,STATIONARY,0.0
10.0,12.0,1.836,0.0004,-0.0,0.0001,STATIONARY,0.0
10.0,12.0,1.851,0.0009,-0.0,0.0,STATIONARY,0.0
10.0,12.0,1.867,0.0004,-0.0,-0.0001,STATIONARY,0.0
10.0,12.0,1.886,0.0016,0.0,0.0004,STATIONARY,0.0
10.0,12.0,1.904,0.0001,-0.0,-0.0002,STATIONARY,0.0
10.0,12.0,1.919,0.0001,0.0,0.0001,STATIONARY,0.0
10.0,12.0,1.94,0.001,0.0,0.0002,STATIONARY,0.0
10.0,12.0,1.957,0.0007,-0.0,-0.0002,STATIONARY,0.0
10.0,12.0,1.973,0.0002,-0.0,-0.0001,STATIONARY,0.0
10.0,12.0,2.008,0.0001,-0.0,0.0001,STATIONARY,0.0
10.0,12.0,2.024,0.0,0.0,0.0001,STATIONARY,0.0
10.0,12.0,2.043,0.0012,0.0,-0.0001,STATIONARY,0.0
10.0,12.0,2.062,0.0004,-0.0,-0.0001,STATIONARY,0.0
10.0,12.0,2.078,0.0005,0.0,0.0003,STATIONARY,0.0
10.0,12.0,2.102,0.0005,0.0,-0.0002,STATIONARY,0.0
10.0,12.0,2.121,0.0,0.0,0.0001,STATIONARY,0.0
10.0,12.0,2.139,0.0012,-0.0,-0.0001,STATIONARY,0.0
10.0,12.0,2.155,0.0006,-0.0,-0.0001,STATIONARY,0.0
10.0,12.0,2.172,0.0,0.0,0.0002,STATIONARY,0.0
10.0,12.0,2.189,0.0004,0.0,-0.0,STATIONARY,0.0
10.0,12.0,2.205,0.0003,-0.0,-0.0,STATIONARY,0.0
10.0,12.0,2.22,0.0007,-0.0,-0.0,STATIONARY,0.0
10.0,12.0,2.237,0.0001,-0.0,-0.0,STATIONARY,0.0
10.0,12.0,2.257,0.0012,-0.0,0.0,STATIONARY,0.0
