x,y,elapsed_s,velocity_ms,accel_ms2,jerk_ms3,direction,wheel_angle_deg
10.0,12.0,0.22,2.223,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.241,2.4377,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.257,2.5553,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.28,2.8122,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.296,2.9413,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.314,3.0972,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.333,3.3389,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.349,3.4674,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.367,3.7151,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.384,3.8139,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.408,4.0539,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.425,4.1824,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.447,4.4383,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.463,4.5754,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.487,4.8323,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.503,4.9959,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.519,5.1544,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.539,5.3592,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.559,5.5351,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.575,5.6688,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.597,5.6112,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.613,4.7922,-0.0001,-0.0078,STATIONARY,0.0
10.0,12.0,0.635,0.0384,-0.1659,-12.5541,STATIONARY,0.0
10.0002,12.0,0.65,0.1151,0.0573,14.9746,STATIONARY,0.0
10.0004,12.0,0.669,0.1719,0.0362,-1.3537,STATIONARY,0.0
10.0004,12.0,0.684,0.2101,0.0264,-0.6575,STATIONARY,0.0
10.0005,12.0,0.701,0.2376,0.0184,-0.4851,STATIONARY,0.0
10.0005,12.0,0.717,0.2532,0.0122,-0.3708,STATIONARY,0.0
10.0005,12.0,0.733,0.2577,0.0078,-0.3247,STATIONARY,0.0
10.0005,12.0,0.751,0.2587,0.0052,-0.1655,STATIONARY,0.0
10.0004,12.0,0.769,0.2458,0.0009,-0.3092,STATIONARY,0.0
10.0004,12.0,0.788,0.2373,0.0001,-0.065,STATIONARY,0.0
10.0004,12.0,0.806,0.2269,-0.0001,-0.0159,STATIONARY,0.0
10.0004,12.0,0.821,0.2135,-0.0008,-0.0385,STATIONARY,0.0
10.0003,12.0,0.846,0.19,-0.0012,-0.0356,STATIONARY,0.0
10.0003,12.0,0.864,0.1772,-0.0012,-0.0007,STATIONARY,0.0
10.0003,12.0,0.886,0.1548,-0.0017,-0.0454,STATIONARY,0.0
10.0002,12.0,0.904,0.1432,-0.001,0.0466,STATIONARY,0.0
10.0002,12.0,0.921,0.1244,-0.0013,-0.0214,STATIONARY,0.0
10.0002,12.0,0.938,0.1143,-0.0009,0.0243,STATIONARY,0.0
10.0002,12.0,0.955,0.1053,-0.001,-0.0046,STATIONARY,0.0
10.0002,12.0,0.971,0.0884,-0.0007,0.0311,STATIONARY,0.0
10.0001,12.0,0.987,0.0847,-0.001,-0.0323,STATIONARY,0.0
10.0001,12.0,1.004,0.0773,-0.0007,0.0293,STATIONARY,0.0
10.0001,12.0,1.025,0.065,-0.0006,0.0008,STATIONARY,0.0
10.0001,12.0,1.042,0.0603,-0.0006,0.0076,STATIONARY,0.0
10.0001,12.0,1.064,0.05,-0.0005,0.007,STATIONARY,0.0
10.0001,12.0,1.081,0.0415,-0.0004,0.0052,STATIONARY,0.0
10.0001,12.0,1.097,0.039,-0.0004,0.0031,STATIONARY,0.0
10.0001,12.0,1.114,0.0354,-0.0003,0.0059,STATIONARY,0.0
10.0001,12.0,1.132,0.0296,-0.0003,0.0009,STATIONARY,0.0
10.0,12.0,1.15,0.0272,-0.0003,0.004,STATIONARY,0.0
10.0,12.0,1.172,0.0224,-0.0002,0.0025,STATIONARY,0.0
10.0,12.0,1.188,0.0184,-0.0002,0.0024,STATIONARY,0.0
10.0,12.0,1.204,0.0148,-0.0002,0.0005,STATIONARY,0.0
10.0,12.0,1.221,0.0172,-0.0002,-0.0021,STATIONARY,0.0
10.0,12.0,1.245,0.0135,-0.0001,0.0048,STATIONARY,0.0
10.0,12.0,1.262,0.0111,-0.0001,0.0011,STATIONARY,0.0
10.0,12.0,1.279,0.0081,-0.0001,0.0006,STATIONARY,0.0
10.0,12.0,1.296,0.0089,-0.0001,0.0011,STATIONARY,0.0
10.0,12.0,1.315,0.0078,-0.0001,0.0008,STATIONARY,0.0
10.0,12.0,1.331,0.007,-0.0001,0.0004,STATIONARY,0.0
10.0,12.0,1.346,0.0064,-0.0001,0.0004,STATIONARY,0.0
10.0,12.0,1.364,0.005,-0.0001,0.0005,STATIONARY,0.0
10.0,12.0,1.386,0.0056,-0.0001,0.0004,STATIONARY,0.0
10.0,12.0,1.402,0.0042,-0.0,0.0012,STATIONARY,0.0
10.0,12.0,1.419,0.0016,-0.0,-0.0,STATIONARY,0.0
10.0,12.0,1.439,0.0039,-0.0,0.0005,STATIONARY,0.0
10.0,12.0,1.456,0.002,-0.0,0.0004,STATIONARY,0.0
10.0,12.0,1.474,0.0021,-0.0,-0.0,STATIONARY,0.0
10.0,12.0,1.496,0.0027,-0.0,0.0005,STATIONARY,0.0
10.0,12.0,1.513,0.0015,-0.0,0.0001,STATIONARY,0.0
10.0,12.0,1.53,0.0014,-0.0,0.0003,STATIONARY,0.0
10.0,12.0,1.553,0.0014,-0.0,0.0001,STATIONARY,0.0
10.0,12.0,1.569,0.0008,-0.0,0.0002,STATIONARY,0.0
10.0,12.0,1.588,0.0015,-0.0,0.0002,STATIONARY,0.0
10.0,12.0,1.603,0.0009,-0.0,-0.0,STATIONARY,0.0
10.0,12.0,1.62,0.0,-0.0,0.0002,STATIONARY,0.0
10.0,12.0,1.638,0.0,-0.0,-0.0,STATIONARY,0.0
10.0,12.0,1.655,0.0027,-0.0,0.0004,STATIONARY,0.0
10.0,12.0,1.679,0.0007,0.0,0.0017,STATIONARY,0.0
10.0,12.0,1.696,0.0005,0.0,-0.0002,STATIONARY,0.0
10.0,12.0,1.712,0.0006,0.0,-0.0008,STATIONARY,0.0
10.0,12.0,1.734,0.001,0.0,-0.0003,STATIONARY,0.0
10.0,12.0,1.75,0.0001,0.0,-0.0,STATIONARY,0.0
10.0,12.0,1.767,0.0003,-0.0,-0.0001,STATIONARY,0.0
10.0,12.0,1.784,0.0004,-0.0,-0.0002,STATIONARY,0.0
10.0,12.0,1.803,0.0011,-0.0,0.0001,STATIONARY,0.0
10.0,12.0,1.819,0.0003,-0.0,-0.0001,STATIONARY,0.0
10.0,12.0,1.836,0.0007,-0.0,0.0,STATIONARY,0.0
10.0,12.0,1.857,0.0003,-0.0,0.0001,STATIONARY,0.0
10.0,12.0,1.874,0.0008,-0.0,-0.0001,STATIONARY,0.0
10.0,12.0,1.89,0.0001,-0.0,-0.0,STATIONARY,0.0
10.0,12.0,1.907,0.0,-0.0,0.0002,STATIONARY,0.0
10.0,12.0,1.929,0.0009,-0.0,-0.0002,STATIONARY,0.0
10.0,12.0,1.946,0.0006,-0.0,0.0,STATIONARY,0.0
10.0,12.0,1.963,0.0001,-0.0,0.0,STATIONARY,0.0
10.0,12.0,1.98,0.0002,-0.0,0.0001,STATIONARY,0.0
10.0,12.0,1.996,0.0005,-0.0,0.0,STATIONARY,0.0
10.0,12.0,2.014,0.0,-0.0,-0.0001,STATIONARY,0.0
