x,y,elapsed_s,velocity_ms,accel_ms2,jerk_ms3,direction,wheel_angle_deg
10.0,12.0,0.213,2.1987,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.24,2.3385,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.262,2.6297,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.28,2.7605,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.295,2.904,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.316,3.1423,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.333,3.2922,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.348,3.4333,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.366,3.5805,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.384,3.8251,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.403,4.074,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.42,4.1773,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.437,4.3085,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.453,4.4296,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.475,4.6835,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.491,4.8286,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.511,3.2238,0.0,0.0009,STATIONARY,0.0
10.0,12.0,0.527,2.5273,0.0,0.0002,STATIONARY,0.0
10.0,12.0,0.544,1.9434,0.0,0.0009,STATIONARY,0.0
10.0002,12.0001,0.561,0.1009,-0.1281,-8.9245,STATIONARY,0.0
10.0005,11.9999,0.58,0.1902,0.0541,17.8359,STATIONARY,0.0
10.0007,11.9999,0.598,0.2225,0.0397,-1.0135,STATIONARY,0.0
10.0008,11.9999,0.622,0.2521,0.022,-1.4541,STATIONARY,0.0
10.0008,11.9999,0.638,0.2602,0.0153,-0.4295,STATIONARY,0.0
10.0007,11.9998,0.662,0.2569,0.0058,-0.7089,STATIONARY,0.0
10.0007,11.9998,0.679,0.249,0.0034,-0.1297,STATIONARY,0.0
10.0007,11.9998,0.695,0.2367,0.0006,-0.1611,STATIONARY,0.0
10.0006,11.9998,0.711,0.224,-0.0009,-0.0967,STATIONARY,0.0
10.0006,11.9998,0.727,0.2119,-0.0015,-0.0416,STATIONARY,0.0
