x,y,elapsed_s,velocity_ms,accel_ms2,jerk_ms3,direction,wheel_angle_deg
10.0,12.0,0.281,2.9387,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.297,3.099,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.313,3.2356,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.329,3.393,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.346,3.5709,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.36,3.7431,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.377,3.8681,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.396,4.052,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.412,4.1909,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.443,4.5607,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.458,4.6941,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.474,4.8408,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.49,4.9876,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.507,4.9822,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.522,3.8277,-0.0,-0.0033,STATIONARY,0.0
10.0,12.0,0.543,2.2703,0.0,0.0043,STATIONARY,0.0
10.0001,12.0,0.56,0.062,-0.0355,-2.4428,STATIONARY,0.0
10.0001,12.0,0.577,0.1256,0.0229,4.3304,STATIONARY,0.0
10.0002,12.0,0.593,0.1832,0.0163,-0.3895,STATIONARY,0.0
10.0002,12.0,0.611,0.2291,0.0109,-0.2469,STATIONARY,0.0
10.0003,12.0,0.63,0.2498,0.0067,-0.2362,STATIONARY,0.0
10.0003,12.0,0.647,0.256,0.0042,-0.1836,STATIONARY,0.0
10.0003,12.0,0.663,0.2588,0.0028,-0.0779,STATIONARY,0.0
10.0002,12.0,0.679,0.2538,0.0013,-0.0841,STATIONARY,0.0
10.0002,12.0,0.698,0.2435,0.0005,-0.0419,STATIONARY,0.0
10.0002,12.0,0.718,0.2301,-0.0001,-0.0337,STATIONARY,0.0
10.0002,12.0,0.736,0.2168,-0.0005,-0.021,STATIONARY,0.0
10.0002,12.0,0.752,0.2043,-0.0006,-0.0087,STATIONARY,0.0
10.0002,12.0,0.769,0.1901,-0.0006,0.0019,STATIONARY,0.0
10.0002,12.0,0.786,0.1738,-0.0006,-0.0033,STATIONARY,0.0
10.0001,12.0,0.81,0.149,-0.0007,-0.0005,STATIONARY,0.0
10.0001,12.0,0.834,0.1337,-0.0007,-0.0011,STATIONARY,0.0
10.0001,12.0,0.854,0.1162,-0.0005,0.0069,STATIONARY,0.0
10.0001,12.0,0.874,0.1038,-0.0005,0.0028,STATIONARY,0.0
10.0001,12.0,0.898,0.0895,-0.0004,0.0012,STATIONARY,0.0
10.0001,12.0,0.914,0.0777,-0.0004,0.0043,STATIONARY,0.0
10.0001,12.0,0.933,0.0725,-0.0004,-0.0012,STATIONARY,0.0
10.0001,12.0,0.948,0.0634,-0.0003,0.0053,STATIONARY,0.0
10.0,12.0,0.971,0.0525,-0.0003,0.0009,STATIONARY,0.0
10.0,12.0,0.988,0.0485,-0.0002,0.0013,STATIONARY,0.0
10.0,12.0,1.006,0.0429,-0.0002,0.0027,STATIONARY,0.0
10.0,12.0,1.023,0.0369,-0.0002,0.0012,STATIONARY,0.0
10.0,12.0,1.04,0.0352,-0.0002,-0.0002,STATIONARY,0.0
