x,y,elapsed_s,velocity_ms,accel_ms2,jerk_ms3,direction,wheel_angle_deg
10.0,12.0,0.303,2.977,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.322,3.1189,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.344,3.3857,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.36,3.5501,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.387,3.7959,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.414,4.0512,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.431,4.2078,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.451,4.4783,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.474,4.7722,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.493,4.9011,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.51,5.0347,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.537,5.3426,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.554,4.5374,-0.0001,-0.0059,STATIONARY,0.0
10.0,12.0,0.582,2.665,0.0,0.0056,STATIONARY,0.0
10.0,12.0,0.599,0.1472,-0.5116,-31.4493,STATIONARY,0.0
10.0009,11.9996,0.62,0.2497,0.1116,46.5736,STATIONARY,0.0
10.0012,11.9996,0.638,0.2655,0.081,-2.1651,STATIONARY,0.0
10.0014,11.9995,0.664,0.2748,0.0451,-3.115,STATIONARY,0.0
10.0015,11.9995,0.681,0.2746,0.0312,-0.8662,STATIONARY,0.0
10.0014,11.9995,0.704,0.2579,0.0109,-1.3417,STATIONARY,0.0
10.0013,11.9995,0.725,0.2458,0.0058,-0.3287,STATIONARY,0.0
10.0013,11.9995,0.742,0.2312,0.0019,-0.2258,STATIONARY,0.0
10.0012,11.9995,0.758,0.2152,-0.0011,-0.1733,STATIONARY,0.0
10.0011,11.9995,0.776,0.2002,-0.003,-0.1274,STATIONARY,0.0
10.001,11.9995,0.793,0.1861,-0.0036,-0.0345,STATIONARY,0.0
10.0009,11.9994,0.813,0.1611,-0.0041,-0.0409,STATIONARY,0.0
10.0008,11.9994,0.831,0.1483,-0.0036,0.0362,STATIONARY,0.0
10.0007,11.9994,0.855,0.1289,-0.0036,-0.0022,STATIONARY,0.0
10.0006,11.9994,0.871,0.1161,-0.0034,0.0125,STATIONARY,0.0
10.0006,11.9994,0.89,0.1046,-0.0033,0.0084,STATIONARY,0.0
10.0005,11.9994,0.904,0.0957,-0.0032,0.0073,STATIONARY,0.0
10.0005,11.9995,0.922,0.0868,-0.0026,0.034,STATIONARY,0.0
10.0004,11.9995,0.945,0.0719,-0.0023,0.0235,STATIONARY,0.0
10.0004,11.9995,0.962,0.0651,-0.002,0.0261,STATIONARY,0.0
10.0004,11.9995,0.978,0.0575,-0.0017,0.0144,STATIONARY,0.0
10.0003,11.9995,0.994,0.0512,-0.0016,0.0049,STATIONARY,0.0
10.0003,11.9995,1.011,0.046,-0.0015,0.0092,STATIONARY,0.0
10.0003,11.9995,1.029,0.0394,-0.0012,0.0227,STATIONARY,0.0
10.0002,11.9995,1.046,0.0369,-0.0012,0.0033,STATIONARY,0.0
10.0002,11.9995,1.069,0.0292,-0.001,0.0162,STATIONARY,0.0
