x,y,elapsed_s,velocity_ms,accel_ms2,jerk_ms3,direction,wheel_angle_deg
10.0,12.0,0.222,2.4183,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.24,2.5371,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.257,2.6863,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.276,2.9279,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.297,3.1641,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.314,3.3332,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.331,3.4565,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.347,3.5665,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.365,3.8562,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.385,3.9563,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.402,4.1019,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.417,3.1368,-0.0001,-0.0053,STATIONARY,0.0
10.0,12.0,0.433,2.5074,0.0,0.006,STATIONARY,0.0
10.0,12.0,0.45,1.9872,0.0,0.0001,STATIONARY,0.0
10.0,12.0,0.466,1.4535,0.0,-0.0003,STATIONARY,0.0
10.0001,12.0,0.482,0.0929,0.0521,4.9818,STATIONARY,0.0
10.0002,12.0,0.499,0.1334,0.0388,-1.4184,STATIONARY,0.0
10.0003,12.0,0.515,0.18,0.0325,-0.455,STATIONARY,0.0
10.0005,12.0,0.533,0.2362,0.0167,-1.3307,STATIONARY,0.0
10.0005,12.0,0.551,0.2497,0.0123,-0.3419,STATIONARY,0.0
10.0005,12.0,0.568,0.256,0.0087,-0.306,STATIONARY,0.0
10.0005,12.0,0.586,0.2574,0.0038,-0.4562,STATIONARY,0.0
10.0004,12.0,0.602,0.2542,0.0027,-0.0779,STATIONARY,0.0
10.0004,11.9999,0.62,0.2474,0.0011,-0.1274,STATIONARY,0.0
10.0004,11.9999,0.643,0.2268,-0.0009,-0.1679,STATIONARY,0.0
10.0003,11.9999,0.664,0.2058,-0.0007,0.0085,STATIONARY,0.0
10.0003,11.9999,0.684,0.1884,-0.0011,-0.0229,STATIONARY,0.0
10.0003,11.9999,0.704,0.1727,-0.0014,-0.0121,STATIONARY,0.0
10.0002,11.9999,0.721,0.1562,-0.0012,0.0068,STATIONARY,0.0
10.0002,11.9999,0.738,0.143,-0.0013,-0.0026,STATIONARY,0.0
