x,y,elapsed_s,velocity_ms,accel_ms2,jerk_ms3,direction,wheel_angle_deg
10.0,12.0,0.213,2.0849,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.235,2.3448,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.253,2.5788,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.271,2.7058,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.289,2.8489,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.308,3.1058,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.324,3.2254,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.341,3.3626,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.364,3.6195,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.382,3.7667,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.397,4.0365,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.419,4.2149,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.435,4.3277,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.452,4.4426,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.47,4.6877,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.487,4.8016,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.508,3.255,0.0,0.0009,STATIONARY,0.0
10.0,12.0,0.525,2.4579,0.0,0.0001,STATIONARY,0.0
10.0002,12.0001,0.547,0.1117,-0.2889,-27.7658,STATIONARY,0.0
10.0004,11.9998,0.563,0.1773,0.1293,29.8109,STATIONARY,0.0
10.0008,11.9998,0.581,0.2313,0.0481,-7.461,STATIONARY,0.0
10.0009,11.9998,0.599,0.2483,0.036,-0.9585,STATIONARY,0.0
10.0009,11.9998,0.615,0.2582,0.0265,-0.7462,STATIONARY,0.0
10.0009,11.9998,0.636,0.263,0.0124,-0.9286,STATIONARY,0.0
10.0009,11.9998,0.652,0.2583,0.0068,-0.5427,STATIONARY,0.0
10.0008,11.9998,0.671,0.2462,0.0024,-0.3956,STATIONARY,0.0
10.0008,11.9998,0.688,0.2378,0.0013,-0.0838,STATIONARY,0.0
10.0007,11.9997,0.706,0.2231,0.0003,-0.0546,STATIONARY,0.0
10.0007,11.9997,0.722,0.2108,-0.0027,-0.227,STATIONARY,0.0
10.0006,11.9997,0.749,0.1852,-0.0025,0.0189,STATIONARY,0.0
10.0005,11.9997,0.765,0.1709,-0.0022,0.017,STATIONARY,0.0
10.0005,11.9997,0.786,0.1495,-0.0026,-0.0379,STATIONARY,0.0
10.0004,11.9997,0.802,0.1371,-0.0019,0.0458,STATIONARY,0.0
10.0004,11.9997,0.82,0.1273,-0.0024,-0.0379,STATIONARY,0.0
10.0004,11.9997,0.837,0.113,-0.0017,0.0373,STATIONARY,0.0
10.0003,11.9997,0.86,0.0975,-0.002,-0.0218,STATIONARY,0.0
10.0003,11.9997,0.877,0.0858,-0.0013,0.0388,STATIONARY,0.0
10.0003,11.9997,0.894,0.0795,-0.0016,-0.0228,STATIONARY,0.0
10.0002,11.9997,0.913,0.0677,-0.0012,0.036,STATIONARY,0.0
10.0002,11.9997,0.931,0.0597,-0.001,0.0117,STATIONARY,0.0
10.0002,11.9997,0.947,0.0553,-0.0011,-0.0072,STATIONARY,0.0
10.0002,11.9997,0.963,0.0469,-0.0009,0.0183,STATIONARY,0.0
10.0002,11.9997,0.98,0.0433,-0.0008,0.0101,STATIONARY,0.0
10.0001,11.9997,1.0,0.0364,-0.0007,0.0072,STATIONARY,0.0
10.0001,11.9997,1.017,0.0326,-0.0006,0.0088,STATIONARY,0.0
10.0001,11.9997,1.039,0.0264,-0.0005,0.0051,STATIONARY,0.0
10.0001,11.9997,1.056,0.023,-0.0004,0.003,STATIONARY,0.0
10.0001,11.9997,1.072,0.0217,-0.0004,0.0007,STATIONARY,0.0
10.0001,11.9997,1.089,0.0187,-0.0004,0.005,STATIONARY,0.0
10.0001,11.9997,1.108,0.0171,-0.0003,0.0026,STATIONARY,0.0
10.0001,11.9997,1.125,0.014,-0.0003,0.0049,STATIONARY,0.0
10.0,11.9997,1.143,0.0126,-0.0003,0.0002,STATIONARY,0.0
10.0,11.9997,1.158,0.0115,-0.0002,0.0032,STATIONARY,0.0
10.0,11.9997,1.175,0.0094,-0.0002,0.002,STATIONARY,0.0
10.0,11.9997,1.194,0.0091,-0.0002,-0.0001,STATIONARY,0.0
10.0,11.9997,1.211,0.0076,-0.0002,0.0037,STATIONARY,0.0
10.0,11.9997,1.228,0.0051,-0.0001,0.0008,STATIONARY,0.0
10.0,11.9997,1.244,0.004,-0.0001,0.0001,STATIONARY,0.0
10.0,11.9997,1.263,0.0061,-0.0001,0.0013,STATIONARY,0.0
10.0,11.9997,1.288,0.0024,-0.0001,0.0012,STATIONARY,0.0
10.0,11.9997,1.306,0.0048,-0.0001,-0.0008,STATIONARY,0.0
10.0,11.9997,1.327,0.0036,-0.0001,0.0017,STATIONARY,0.0
10.0,11.9998,1.343,0.0024,-0.0001,0.0011,STATIONARY,0.0
10.0,11.9997,1.363,0.0029,-0.0001,0.0004,STATIONARY,0.0
10.0,11.9997,1.381,0.0024,-0.0001,0.0004,STATIONARY,0.0
10.0,11.9997,1.398,0.0019,-0.0001,0.0004,STATIONARY,0.0
10.0,11.9997,1.416,0.0009,-0.0,0.0004,STATIONARY,0.0
10.0,11.9997,1.44,0.0007,-0.0,0.0005,STATIONARY,0.0
10.0,11.9997,1.456,0.0011,-0.0,0.0001,STATIONARY,0.0
10.0,11.9997,1.479,0.0008,-0.0,0.0004,STATIONARY,0.0
10.0,11.9997,1.498,0.0001,-0.0002,-0.0128,STATIONARY,0.0
10.0,11.9997,1.513,0.0002,0.0,0.0179,STATIONARY,0.0
10.0,11.9997,1.53,0.0008,0.0,-0.0011,STATIONARY,0.0
10.0,11.9997,1.547,0.0008,0.0,-0.0017,STATIONARY,0.0
10.0,11.9997,1.564,0.0024,0.0,-0.0004,STATIONARY,0.0
10.0,11.9997,1.58,0.0009,-0.0,-0.0005,STATIONARY,0.0
10.0,11.9997,1.596,0.0006,-0.0,-0.0002,STATIONARY,0.0
10.0,11.9997,1.616,0.001,-0.0,-0.0001,STATIONARY,0.0
10.0,11.9997,1.632,0.001,-0.0,0.0001,STATIONARY,0.0
10.0,11.9997,1.649,0.001,-0.0,-0.0002,STATIONARY,0.0
10.0,11.9997,1.672,0.0021,-0.0,0.0001,STATIONARY,0.0
10.0,11.9997,1.689,0.0009,-0.0,-0.0001,STATIONARY,0.0
10.0,11.9997,1.705,0.0006,-0.0,0.0001,STATIONARY,0.0
10.0,11.9997,1.721,0.0019,-0.0,-0.0002,STATIONARY,0.0
10.0,11.9997,1.742,0.0005,-0.0,0.0004,STATIONARY,0.0
10.0,11.9997,1.76,0.0008,-0.0,-0.0001,STATIONARY,0.0
10.0,11.9997,1.78,0.0009,-0.0,0.0,STATIONARY,0.0
10.0,11.9997,1.797,0.0003,-0.0,0.0001,STATIONARY,0.0
10.0,11.9997,1.813,0.0007,-0.0,-0.0002,STATIONARY,0.0
10.0,11.9997,1.834,0.0011,-0.0,0.0004,STATIONARY,0.0
10.0,11.9997,1.85,0.0015,-0.0,-0.0001,STATIONARY,0.0
10.0,11.9997,1.871,0.0012,-0.0,-0.0,STATIONARY,0.0
10.0,11.9997,1.888,0.0003,-0.0,0.0002,STATIONARY,0.0
10.0,11.9997,1.907,0.0005,0.0,0.0014,STATIONARY,0.0
10.0,11.9997,1.925,0.0,0.0,-0.0006,STATIONARY,0.0
10.0,11.9997,1.94,0.0004,0.0,-0.0003,STATIONARY,0.0
10.0,11.9997,1.966,0.0002,0.0,-0.0001,STATIONARY,0.0
10.0,11.9997,1.982,0.0009,-0.0,-0.0001,STATIONARY,0.0
10.0,11.9997,1.999,0.0,-0.0,-0.0,STATIONARY,0.0
10.0,11.9997,2.017,0.0009,-0.0,-0.0,STATIONARY,0.0
10.0,11.9997,2.033,0.0003,-0.0,-0.0,STATIONARY,0.0
10.0,11.9997,2.049,0.0006,-0.0,0.0,STATIONARY,0.0
10.0,11.9997,2.065,0.0012,-0.0,-0.0,STATIONARY,0.0
10.0,11.9997,2.082,0.0001,0.0,0.0001,STATIONARY,0.0
10.0,11.9997,2.102,0.0008,-0.0,-0.0001,STATIONARY,0.0
