Timestamp (ns),Time (s),X Position (m),Y Position (m),Yaw (rad),Steering Command,change_gear_times
14969856615,14.9699,71.302216,-107.499794,-0.000565,0.000000,1
15019856615,15.0199,71.352654,-107.499840,-0.000581,0.000000,1
15069856616,15.0699,71.406181,-107.499893,-0.000567,0.000000,1
15119856617,15.1199,71.464317,-107.499947,-0.000420,0.000000,1
15169856618,15.1699,71.525536,-107.499962,-0.000399,0.000000,1
15219856618,15.2199,71.591240,-107.500008,-0.000398,0.000000,1
15269856619,15.2699,71.660072,-107.500053,-0.000398,0.000000,1
15319856620,15.3199,71.733269,-107.500107,-0.000398,0.000000,1
15369856621,15.3699,71.809525,-107.500153,-0.000398,0.000000,1
15419856621,15.4199,71.890045,-107.500206,-0.000398,0.000000,1
15469856622,15.4699,71.973564,-107.500252,-0.000398,0.000000,1
15519856623,15.5199,72.061272,-107.500298,-0.000398,0.000000,1
15569856624,15.5699,72.151901,-107.500351,-0.000398,0.000000,1
15619856624,15.6199,72.246582,-107.500397,-0.000398,0.000000,1
15669856625,15.6699,72.344147,-107.500450,-0.000398,0.000000,1
15719856626,15.7199,72.445656,-107.500496,-0.000398,0.000000,1
15769856627,15.7699,72.549957,-107.500542,-0.000398,0.000000,1
15819856627,15.8199,72.658081,-107.500595,-0.000398,0.000000,1
15869856628,15.8699,72.768936,-107.500641,-0.000398,0.000000,1
15919856629,15.9199,72.883492,-107.500694,-0.000398,0.000000,1
15969856630,15.9699,73.000717,-107.500740,-0.000398,0.000000,1
16019856630,16.0199,73.121529,-107.500786,-0.000398,0.000000,1
16069856631,16.0699,73.244934,-107.500839,-0.000397,0.000000,1
16119856632,16.1199,73.371803,-107.500885,-0.000397,0.000000,1
16169856633,16.1699,73.501213,-107.500938,-0.000397,0.000000,1
16219856633,16.2199,73.633965,-107.500984,-0.000397,0.000000,1
16269856634,16.2699,73.769226,-107.501030,-0.000397,0.000000,1
16319856635,16.3199,73.907639,-107.501068,-0.000418,0.000000,1
16369856636,16.3699,74.047752,-107.501183,-0.000241,0.000000,1
16419856636,16.4199,74.190277,-107.501259,-0.000149,0.000000,1
16469856637,16.4699,74.334908,-107.501335,0.000055,0.000000,1
16519856638,16.5199,74.482216,-107.501366,0.000135,0.000000,1
16569856639,16.5699,74.631775,-107.501404,0.000317,0.000000,1
16619856639,16.6199,74.784042,-107.501373,0.000379,0.000000,1
