Timestamp (ns),Time (s),X Position (m),Y Position (m),Yaw (rad),Steering Command,change_gear_times
11127764566,11.1278,71.201729,-107.499878,-0.000895,0.000000,1
11177764567,11.1778,71.244743,-107.499832,-0.001035,0.000000,1
11227764567,11.2278,71.292168,-107.499939,-0.000850,0.000000,1
11277764568,11.2778,71.342621,-107.500031,-0.000747,0.000000,1
11327764569,11.3278,71.395996,-107.500038,-0.000851,0.000000,1
11377764570,11.3778,71.451790,-107.500137,-0.000717,0.000000,1
11427764570,11.4278,71.510826,-107.500244,-0.000394,0.000000,1
11477764571,11.4778,71.573517,-107.500366,-0.000069,0.000000,1
11527764572,11.5278,71.640625,-107.500298,-0.000271,0.000000,1
11577764573,11.5778,71.711182,-107.500282,-0.000335,0.000000,1
11627764573,11.6278,71.786499,-107.500298,-0.000340,0.000000,1
11677764574,11.6778,71.865089,-107.500351,-0.000340,0.000000,1
11727764575,11.7278,71.948044,-107.500397,-0.000340,0.000000,1
11777764576,11.7778,72.034050,-107.500450,-0.000340,0.000000,1
11827764576,11.8278,72.124229,-107.500496,-0.000340,0.000000,1
11877764577,11.8778,72.217354,-107.500542,-0.000340,0.000000,1
11927764578,11.9278,72.314507,-107.500595,-0.000340,0.000000,1
11977764579,11.9778,72.414497,-107.500641,-0.000340,0.000000,1
12027764579,12.0278,72.518410,-107.500694,-0.000340,0.000000,1
12077764580,12.0778,72.625084,-107.500740,-0.000340,0.000000,1
12127764581,12.1278,72.735550,-107.500786,-0.000340,0.000000,1
12177764581,12.1778,72.848717,-107.500839,-0.000340,0.000000,1
12227764582,12.2278,72.965553,-107.500885,-0.000339,0.000000,1
12277764583,12.2778,73.085022,-107.500938,-0.000339,0.000000,1
12327764584,12.3278,73.208038,-107.500984,-0.000339,0.000000,1
12377764584,12.3778,73.333633,-107.501030,-0.000339,0.000000,1
12427764585,12.4278,73.462646,-107.501083,-0.000339,0.000000,1
12477764586,12.4778,73.594185,-107.501129,-0.000339,0.000000,1
12527764587,12.5278,73.729019,-107.501183,-0.000339,0.000000,1
12577764587,12.5778,73.866386,-107.501236,-0.000320,0.000000,1
12627764588,12.6278,74.006203,-107.501289,-0.000301,0.000000,1
12677764589,12.6778,74.147858,-107.501404,-0.000092,0.000000,1
12727764590,12.7278,74.292061,-107.501442,-0.000002,0.000000,1
12777764590,12.7778,74.438454,-107.501511,0.000194,0.000000,1
12827764591,12.8278,74.587547,-107.501518,0.000268,0.000000,1
12877764592,12.8778,74.738907,-107.501534,0.000443,0.000000,1
12927764593,12.9278,74.892960,-107.501503,0.000498,0.000000,1
12977764593,12.9778,75.049255,-107.501450,0.000651,0.000000,1
